day_of_year,estimated_pzd,food_respawn_rate
1,0.94265126,0.01126268
2,0.94220179,0.01125731
3,0.94175232,0.01125194
4,0.94130286,0.01124657
5,0.94085339,0.01124120
6,0.94040392,0.01123583
7,0.93995445,0.01123046
8,0.93950499,0.01122509
9,0.93905552,0.01121972
10,0.93860605,0.01121435
11,0.93815658,0.01120898
12,0.93770712,0.01120361
13,0.93725765,0.01119824
14,0.93680818,0.01119287
15,0.93635871,0.01118750
16,0.93590925,0.01118213
17,0.93909838,0.01122024
18,0.94228752,0.01125834
19,0.94547666,0.01129644
20,0.94866580,0.01133455
21,0.95185494,0.01137265
22,0.95504408,0.01141075
23,0.95823322,0.01144886
24,0.96142236,0.01148696
25,0.96461150,0.01152506
26,0.96780064,0.01156317
27,0.97098978,0.01160127
28,0.97417892,0.01163937
29,0.97736805,0.01167748
30,0.98055719,0.01171558
31,0.98374633,0.01175368
32,0.98693547,0.01179179
33,0.99012461,0.01182989
34,0.99331375,0.01186799
35,0.99650289,0.01190610
36,0.99969203,0.01194420
37,1.00288117,0.01198230
38,1.00607031,0.01202041
39,1.00925945,0.01205851
40,1.01244859,0.01209661
41,1.01563772,0.01213472
42,1.01882686,0.01217282
43,1.02201600,0.01221093
44,1.02520514,0.01224903
45,1.02839428,0.01228713
46,1.03371673,0.01235072
47,1.04117250,0.01243980
48,1.04862827,0.01252889
49,1.05608403,0.01261797
50,1.06353980,0.01270705
51,1.07099556,0.01279613
52,1.07845133,0.01288521
53,1.08590710,0.01297429
54,1.09336286,0.01306337
55,1.10081863,0.01315245
56,1.10827439,0.01324153
57,1.11573016,0.01333061
58,1.12318592,0.01341969
59,1.13064169,0.01350877
60,1.13809746,0.01359785
61,1.14555322,0.01368693
62,1.15300899,0.01377601
63,1.16046475,0.01386509
64,1.16792052,0.01395417
65,1.17537629,0.01404326
66,1.18283205,0.01413234
67,1.19028782,0.01422142
68,1.19774358,0.01431050
69,1.20519935,0.01439958
70,1.21265511,0.01448866
71,1.22011088,0.01457774
72,1.22756665,0.01466682
73,1.23502241,0.01475590
74,1.24247818,0.01484498
75,1.24993394,0.01493406
76,1.26643413,0.01513120
77,1.28293432,0.01532835
78,1.29943450,0.01552549
79,1.31593469,0.01572263
80,1.33243488,0.01591977
81,1.34893506,0.01611692
82,1.36543525,0.01631406
83,1.38193544,0.01651120
84,1.39843562,0.01670834
85,1.41493581,0.01690548
86,1.43143599,0.01710263
87,1.44793618,0.01729977
88,1.46443637,0.01749691
89,1.48093655,0.01769405
90,1.49743674,0.01789120
91,1.51393693,0.01808834
92,1.53043711,0.01828548
93,1.54693730,0.01848262
94,1.56343749,0.01867976
95,1.57993767,0.01887691
96,1.59643786,0.01907405
97,1.61293804,0.01927119
98,1.62943823,0.01946833
99,1.64593842,0.01966548
100,1.66243860,0.01986262
101,1.67893879,0.02005976
102,1.69543898,0.02025690
103,1.71193916,0.02045404
104,1.72843935,0.02065119
105,1.74493954,0.02084833
106,1.75395701,0.02095607
107,1.75549178,0.02097441
108,1.75702654,0.02099274
109,1.75856131,0.02101108
110,1.76009608,0.02102942
111,1.76163084,0.02104775
112,1.76316561,0.02106609
113,1.76470038,0.02108443
114,1.76623514,0.02110277
115,1.76776991,0.02112110
116,1.76930467,0.02113944
117,1.77083944,0.02115778
118,1.77237421,0.02117612
119,1.77390897,0.02119445
120,1.77544374,0.02121279
121,1.77697851,0.02123113
122,1.77851327,0.02124946
123,1.78004804,0.02126780
124,1.78158280,0.02128614
125,1.78311757,0.02130448
126,1.78465234,0.02132281
127,1.78618710,0.02134115
128,1.78772187,0.02135949
129,1.78925664,0.02137782
130,1.79079140,0.02139616
131,1.79232617,0.02141450
