day_of_year,estimated_pzd,food_respawn_rate
1,0.73784030,0.00881563
2,0.73114153,0.00873559
3,0.72816262,0.00870000
4,0.73636795,0.00879804
5,0.75815007,0.00905829
6,0.78925816,0.00942996
7,0.82544138,0.00986228
8,0.86244893,0.01030444
9,0.89602997,0.01070566
10,0.92193368,0.01101515
11,0.93590925,0.01118213
12,0.94223105,0.01125766
13,0.94802907,0.01132694
14,0.95333590,0.01139034
15,0.95818412,0.01144827
16,0.96260629,0.01150110
17,0.96663499,0.01154924
18,0.97030282,0.01159306
19,0.97364234,0.01163296
20,0.97668613,0.01166933
21,0.97946677,0.01170255
22,0.98201684,0.01173302
23,0.98436892,0.01176112
24,0.98655558,0.01178725
25,0.98860941,0.01181179
26,0.99056298,0.01183513
27,0.99244887,0.01185766
28,0.99429966,0.01187977
29,0.99614793,0.01190186
30,0.99802625,0.01192430
31,0.99996721,0.01194749
32,1.00200338,0.01197182
33,1.00416734,0.01199767
34,1.00649167,0.01202544
35,1.00900894,0.01205552
36,1.01175174,0.01208829
37,1.01475264,0.01212414
38,1.01804423,0.01216347
39,1.02165907,0.01220666
40,1.02562975,0.01225410
41,1.02998885,0.01230618
42,1.03472458,0.01236277
43,1.03979745,0.01242338
44,1.04519849,0.01248791
45,1.05091871,0.01255625
46,1.05694914,0.01262830
47,1.06328081,0.01270395
48,1.06990474,0.01278309
49,1.07681195,0.01286562
50,1.08399347,0.01295142
51,1.09144031,0.01304040
52,1.09914351,0.01313244
53,1.10709409,0.01322743
54,1.11528306,0.01332527
55,1.12370146,0.01342585
56,1.13234031,0.01352907
57,1.14119063,0.01363481
58,1.15024344,0.01374297
59,1.15948977,0.01385345
60,1.16892064,0.01396612
61,1.17852708,0.01408090
62,1.18830010,0.01419767
63,1.19823074,0.01431632
64,1.20831002,0.01443674
65,1.21852895,0.01455884
66,1.22887857,0.01468249
67,1.23934989,0.01480760
68,1.24993394,0.01493406
69,1.26127647,0.01506958
70,1.27395876,0.01522111
71,1.28787510,0.01538738
72,1.30291981,0.01556713
73,1.31898720,0.01575910
74,1.33597158,0.01596203
75,1.35376726,0.01617465
76,1.37226856,0.01639570
77,1.39136977,0.01662392
78,1.41096522,0.01685804
79,1.43094921,0.01709681
80,1.45121605,0.01733896
81,1.47166005,0.01758322
82,1.49217553,0.01782834
83,1.51265679,0.01807304
84,1.53299814,0.01831608
85,1.55309390,0.01855618
86,1.57283837,0.01879209
87,1.59212586,0.01902253
88,1.61085069,0.01924625
89,1.62890716,0.01946199
90,1.64618959,0.01966848
91,1.66259228,0.01986445
92,1.67800955,0.02004866
93,1.69233570,0.02021982
94,1.70546505,0.02037669
95,1.71729190,0.02051800
96,1.72771058,0.02064248
97,1.73661537,0.02074887
98,1.74390061,0.02083592
99,1.74946059,0.02090235
100,1.75318963,0.02094690
101,1.75584507,0.02097863
102,1.75826586,0.02100755
103,1.76046870,0.02103387
104,1.76247028,0.02105778
105,1.76428732,0.02107949
106,1.76593652,0.02109920
