step,population_size,food_count,average_energy,average_age,birth_count,death_count,age_death_count,energy_death_count,move_count,move_rate,non_move_count,eat_count,eat_rate,eat_per_move,eat_after_move_count,eat_without_move_count,eat_after_move_rate,eat_without_move_rate,total_eat_rate,shared_food_cell_count,shared_food_consumer_count,mean_consumers_per_shared_food,birth_rate,death_rate,age_death_rate,energy_death_rate,average_exploration_tendency,std_exploration_tendency,min_exploration_tendency,max_exploration_tendency,average_site_fidelity,std_site_fidelity,min_site_fidelity,max_site_fidelity,average_risk_tolerance,std_risk_tolerance,min_risk_tolerance,max_risk_tolerance,average_reproduction_timing,std_reproduction_timing,min_reproduction_timing,max_reproduction_timing
0,100,690,9.86,1.0,0,0,0,0,54,0.54,46,10,0.1,0.18518518518518517,10,0,0.18518518518518517,0.0,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.5119354838709678,0.2941912492836026,0.0,1.0,0.52,0.2891474424862823,0.0,1.0,0.5016129032258064,0.287382061951921,0.0,1.0,0.5454838709677419,0.2972329903835046,0.0,1.0
1,100,869,10.37,2.0,0,0,0,0,44,0.44,56,23,0.23,0.45454545454545453,20,3,0.45454545454545453,0.05357142857142857,0.23,2,4,2.0,0.0,0.0,0.0,0.0,0.5119354838709678,0.2941912492836026,0.0,1.0,0.52,0.2891474424862823,0.0,1.0,0.5016129032258064,0.287382061951921,0.0,1.0,0.5454838709677419,0.2972329903835046,0.0,1.0
2,102,1041,10.843137254901961,2.9411764705882355,2,0,0,0,51,0.51,49,28,0.28,0.47058823529411764,24,4,0.47058823529411764,0.08163265306122448,0.28,0,0,0.0,0.02,0.0,0.0,0.0,0.5177103099304238,0.2941756215263773,0.0,1.0,0.5186590765338394,0.29335287865989146,0.0,1.0,0.5069576217583808,0.28736910276474553,0.0,1.0,0.5357368753953194,0.3022754450002192,0.0,1.0
3,102,1219,11.301960784313724,3.9411764705882355,0,0,0,0,53,0.5196078431372549,49,24,0.23529411764705882,0.3584905660377358,19,5,0.3584905660377358,0.10204081632653061,0.23529411764705882,2,4,2.0,0.0,0.0,0.0,0.0,0.5177103099304238,0.2941756215263773,0.0,1.0,0.5186590765338394,0.29335287865989146,0.0,1.0,0.5069576217583808,0.28736910276474553,0.0,1.0,0.5357368753953194,0.3022754450002192,0.0,1.0
4,106,1381,11.816981132075473,4.754716981132075,4,0,0,0,60,0.5882352941176471,42,39,0.38235294117647056,0.5333333333333333,32,7,0.5333333333333333,0.16666666666666666,0.38235294117647056,1,2,2.0,0.0392156862745098,0.0,0.0,0.0,0.5286062081558125,0.2954697161875097,0.0,1.0,0.5188679245283019,0.290968306195608,0.0,1.0,0.5076080340839927,0.28638370441045596,0.0,1.0,0.5270846013390139,0.3013685103984833,0.0,1.0
5,110,1546,12.081818181818182,5.545454545454546,4,0,0,0,68,0.6415094339622641,38,35,0.330188679245283,0.4264705882352941,29,6,0.4264705882352941,0.15789473684210525,0.330188679245283,0,0,0.0,0.03773584905660377,0.0,0.0,0.0,0.5252199413489737,0.29221060311903957,0.0,1.0,0.5164222873900293,0.2944797012975796,0.0,1.0,0.5082111436950146,0.28290245216145177,0.0,1.0,0.5190615835777126,0.3016852816553168,0.0,1.0
6,115,1705,12.452173913043477,6.260869565217392,5,0,0,0,66,0.6,44,42,0.38181818181818183,0.5,33,9,0.5,0.20454545454545456,0.38181818181818183,1,2,2.0,0.045454545454545456,0.0,0.0,0.0,0.5309957924263674,0.29350868083792314,0.0,1.0,0.517531556802244,0.29566202069558356,0.0,1.0,0.5180925666199159,0.28331217973661166,0.0,1.0,0.5130434782608696,0.30371104718425657,0.0,1.0
7,120,1850,13.245833333333334,6.958333333333333,5,0,0,0,81,0.7043478260869566,34,56,0.48695652173913045,0.6296296296296297,51,5,0.6296296296296297,0.14705882352941177,0.48695652173913045,1,2,2.0,0.043478260869565216,0.0,0.0,0.0,0.5279569892473118,0.2912748222615162,0.0,1.0,0.513978494623656,0.29748434591079326,0.0,1.0,0.510752688172043,0.2817532608301774,0.0,1.0,0.5067204301075269,0.305612769110375,0.0,1.0
8,125,1994,13.988,7.64,5,0,0,0,84,0.7,36,60,0.5,0.6547619047619048,55,5,0.6547619047619048,0.1388888888888889,0.5,4,8,2.0,0.041666666666666664,0.0,0.0,0.0,0.5298064516129032,0.2876656632602136,0.0,1.0,0.5161290322580645,0.2973346741110429,0.0,1.0,0.5140645161290321,0.2794894706495295,0.0,1.0,0.5034838709677419,0.3075977480570713,0.0,1.0
9,134,2129,14.35820895522388,8.059701492537313,9,0,0,0,92,0.736,33,70,0.56,0.6847826086956522,63,7,0.6847826086956522,0.21212121212121213,0.56,5,10,2.0,0.072,0.0,0.0,0.0,0.533220991815118,0.2893497395113462,0.0,1.0,0.5226287915262398,0.29961017146559077,0.0,1.0,0.5180548868560424,0.2796897720407093,0.0,1.0,0.4894077997111218,0.3083406320165557,0.0,1.0
10,144,2257,14.740277777777777,8.430555555555555,10,0,0,0,98,0.7313432835820896,36,78,0.582089552238806,0.7244897959183674,71,7,0.7244897959183674,0.19444444444444445,0.582089552238806,5,11,2.2,0.07462686567164178,0.0,0.0,0.0,0.5288978494623655,0.2898547293139737,0.0,1.0,0.519489247311828,0.30384000248402515,0.0,1.0,0.5201612903225806,0.27943739105722676,0.0,1.0,0.491263440860215,0.30516895194296684,0.0,1.0
11,156,2364,15.462820512820512,8.705128205128204,12,0,0,0,101,0.7013888888888888,43,98,0.6805555555555556,0.8217821782178217,83,15,0.8217821782178217,0.3488372093023256,0.6805555555555556,5,10,2.0,0.08333333333333333,0.0,0.0,0.0,0.5450785773366419,0.29090052499157354,0.0,1.0,0.511786600496278,0.3054615179581563,0.0,1.0,0.5272952853598014,0.2761124371321047,0.0,1.0,0.47394540942928043,0.30769230769230765,0.0,1.0
12,174,2464,15.509195402298847,8.701149425287356,18,0,0,0,108,0.6923076923076923,48,108,0.6923076923076923,0.8425925925925926,91,17,0.8425925925925926,0.3541666666666667,0.6923076923076923,8,16,2.0,0.11538461538461539,0.0,0.0,0.0,0.5489432703003337,0.28714268375001806,0.0,1.0,0.5218761586948462,0.3079115256788166,0.0,1.0,0.5244716351501668,0.27366808326142655,0.0,1.0,0.45179829440118646,0.3069146848957652,0.0,1.0
13,190,2562,15.706315789473681,8.884210526315789,16,0,0,0,127,0.7298850574712644,47,111,0.6379310344827587,0.7559055118110236,96,15,0.7559055118110236,0.3191489361702128,0.6379310344827587,9,18,2.0,0.09195402298850575,0.0,0.0,0.0,0.5483870967741935,0.2866013160568499,0.0,1.0,0.5149405772495755,0.30826238416824264,0.0,1.0,0.533446519524618,0.2699435136266778,0.0,1.0,0.4368421052631579,0.30892277850902977,0.0,1.0
14,210,2640,15.858095238095235,8.942857142857143,20,0,0,0,145,0.7631578947368421,45,131,0.6894736842105263,0.7724137931034483,112,19,0.7724137931034483,0.4222222222222222,0.6894736842105263,9,18,2.0,0.10526315789473684,0.0,0.0,0.0,0.5493087557603686,0.28404048642035756,0.0,1.0,0.5190476190476191,0.3113981965088504,0.0,1.0,0.5301075268817205,0.26872717386390005,0.0,1.0,0.4235023041474654,0.31195660706051737,0.0,1.0
15,223,2712,16.70044843049327,9.36322869955157,13,0,0,0,160,0.7619047619047619,50,147,0.7,0.79375,127,20,0.79375,0.4,0.7,16,35,2.1875,0.06190476190476191,0.0,0.0,0.0,0.5495443367568349,0.2818964061444685,0.0,1.0,0.5222045421669319,0.30895639159640814,0.0,1.0,0.521481267177781,0.2724787983160895,0.0,1.0,0.4270215535946767,0.31022484334027056,0.0,1.0
16,256,2776,15.810937499999996,8.9609375,34,1,0,1,165,0.7399103139013453,58,154,0.6905829596412556,0.7818181818181819,129,25,0.7818181818181819,0.43103448275862066,0.6905829596412556,16,34,2.125,0.15246636771300448,0.004484304932735426,0.0,0.004484304932735426,0.5530493951612904,0.2807538572742573,0.0,1.0,0.5177671370967742,0.3146992064590251,0.0,1.0,0.5297379032258065,0.2681712143237179,0.0,1.0,0.40763608870967744,0.30588880064398505,0.0,1.0
17,281,2811,16.078291814946617,9.07473309608541,25,0,0,0,204,0.796875,52,189,0.73828125,0.8431372549019608,172,17,0.8431372549019608,0.3269230769230769,0.73828125,23,47,2.0434782608695654,0.09765625,0.0,0.0,0.0,0.5470095281827575,0.2789550414590442,0.0,1.0,0.5133738950751923,0.31783881482155124,0.0,1.0,0.5318562736769601,0.2689158030259874,0.0,1.0,0.40534955803007694,0.30559718738520086,0.0,1.0
18,298,2846,16.85201342281879,9.5,17,0,0,0,208,0.7402135231316725,73,205,0.7295373665480427,0.8221153846153846,171,34,0.8221153846153846,0.4657534246575342,0.7295373665480427,34,74,2.176470588235294,0.060498220640569395,0.0,0.0,0.0,0.5510933102403117,0.27893085946910784,0.0,1.0,0.5134228187919463,0.317995683494691,0.0,1.0,0.5335570469798657,0.2676949591821645,0.0,1.0,0.40062784152413944,0.30368199065422996,0.0,1.0
19,334,2859,16.54221556886227,9.368263473053892,36,0,0,0,222,0.7449664429530202,76,219,0.7348993288590604,0.7927927927927928,176,43,0.7927927927927928,0.5657894736842105,0.7348993288590604,28,60,2.142857142857143,0.12080536912751678,0.0,0.0,0.0,0.5568862275449101,0.27921140231385466,0.0,1.0,0.5124589530616187,0.31846748297987415,0.0,1.0,0.5316785783272164,0.26658822843830166,0.0,1.0,0.39096001545296505,0.30028830425356595,0.0,1.0
20,374,2872,16.009893048128337,9.259358288770054,40,0,0,0,239,0.7155688622754491,95,236,0.7065868263473054,0.8158995815899581,195,41,0.8158995815899581,0.43157894736842106,0.7065868263473054,39,88,2.2564102564102564,0.11976047904191617,0.0,0.0,0.0,0.5542521994134897,0.27859328327571475,0.0,1.0,0.4937898913230982,0.3236726343697084,0.0,1.0,0.5278592375366569,0.26336070399287576,0.0,1.0,0.38804554079696396,0.30247263159299886,0.0,1.0
21,408,2853,16.169852941176465,9.404411764705882,34,0,0,0,278,0.7433155080213903,96,278,0.7433155080213903,0.841726618705036,234,44,0.841726618705036,0.4583333333333333,0.7433155080213903,48,107,2.2291666666666665,0.09090909090909091,0.0,0.0,0.0,0.556056293485136,0.27839334268446664,0.0,1.0,0.4960468058191018,0.3218836261018459,0.0,1.0,0.5324952561669829,0.26440067992641814,0.0,1.0,0.3867014547754586,0.30311669012148934,0.0,1.0
22,453,2825,15.809050772626927,9.370860927152318,45,0,0,0,310,0.7598039215686274,98,301,0.7377450980392157,0.8290322580645161,257,44,0.8290322580645161,0.4489795918367347,0.7377450980392157,55,128,2.327272727272727,0.11029411764705882,0.0,0.0,0.0,0.5622018087303283,0.2759125622958136,0.0,1.0,0.49533575446841843,0.3221451851429248,0.0,1.0,0.5350708538061667,0.2632979181054517,0.0,1.0,0.3856725770846685,0.30232311648818266,0.0,1.0
23,489,2789,15.918609406952958,9.607361963190185,36,0,0,0,332,0.7328918322295805,121,326,0.7196467991169978,0.7981927710843374,265,61,0.7981927710843374,0.5041322314049587,0.7196467991169978,63,153,2.4285714285714284,0.07947019867549669,0.0,0.0,0.0,0.5688369945247048,0.27453181651295894,0.0,1.0,0.49284253578732107,0.3239241626388566,0.0,1.0,0.5349297447061151,0.26178504027053906,0.0,1.0,0.3829408272313477,0.3035233679968187,0.0,1.0
24,534,2741,15.699812734082391,9.687265917602996,46,1,0,1,362,0.7402862985685071,127,362,0.7402862985685071,0.8149171270718232,295,67,0.8149171270718232,0.5275590551181102,0.7402862985685071,79,193,2.4430379746835444,0.09406952965235174,0.002044989775051125,0.0,0.002044989775051125,0.5601667270750271,0.2739599603946399,0.0,1.0,0.4888848616648544,0.3262330956484768,0.0,1.0,0.5320768394345777,0.25727605155063327,0.0,1.0,0.3837743143651081,0.3006542794634865,0.0,1.0
25,583,2678,15.43619210977701,9.789022298456262,49,0,0,0,401,0.7509363295880149,133,390,0.7303370786516854,0.830423940149626,333,57,0.830423940149626,0.42857142857142855,0.7303370786516854,93,220,2.3655913978494625,0.09176029962546817,0.0,0.0,0.0,0.5652630996514137,0.27429015712005483,0.0,1.0,0.4905107065788745,0.3240637079811902,0.0,1.0,0.5297404968737895,0.2565808306981279,0.0,1.0,0.3800697172577879,0.29744767103125047,0.0,1.0
26,630,2591,15.41666666666666,9.976190476190476,48,1,0,1,424,0.7272727272727273,159,435,0.7461406518010292,0.8325471698113207,353,82,0.8325471698113207,0.5157232704402516,0.7461406518010292,104,252,2.423076923076923,0.0823327615780446,0.0017152658662092624,0.0,0.0017152658662092624,0.5727598566308243,0.2727647346917817,0.0,1.0,0.4937532002048131,0.323730349038133,0.0,1.0,0.5345110087045571,0.2573352053231896,0.0,1.0,0.3753712237583205,0.2973817783603349,0.0,1.0
