founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_generation,final_max_generation
0,True,118,2,0,0.0,0.12903225806451613,0.8064516129032258,0.8064516129032258,0.6774193548387096,,,,,,,,,,
1,True,91,2,0,0.0,0.3870967741935484,0.1935483870967742,0.8709677419354839,0.6451612903225806,,,,,,,,,,
2,True,86,2,0,0.0,0.8064516129032258,0.3870967741935484,0.0,0.6774193548387096,,,,,,,,,,
3,True,64,1,0,0.0,0.3870967741935484,0.8387096774193549,0.16129032258064516,0.0,,,,,,,,,,
4,True,91,6,0,0.0,0.6774193548387096,0.0967741935483871,0.9354838709677419,0.2903225806451613,,,,,,,,,,
5,True,117,6,0,0.0,0.967741935483871,0.12903225806451613,0.45161290322580644,0.8709677419354839,,,,,,,,,,
6,True,103,1,0,0.0,0.0967741935483871,0.7419354838709677,0.8709677419354839,0.5161290322580645,,,,,,,,,,
7,True,122,21,0,0.0,0.7419354838709677,0.8064516129032258,0.16129032258064516,0.22580645161290322,,,,,,,,,,
8,True,72,2,0,0.0,0.41935483870967744,0.7419354838709677,0.4838709677419355,0.6774193548387096,,,,,,,,,,
9,True,41,1,0,0.0,0.6451612903225806,0.41935483870967744,0.1935483870967742,0.9032258064516129,,,,,,,,,,
10,True,35,1,0,0.0,0.7096774193548387,0.6774193548387096,0.41935483870967744,0.03225806451612903,,,,,,,,,,
11,False,,595,87,0.0675990675990676,0.03225806451612903,0.0967741935483871,0.9032258064516129,0.3548387096774194,0.05005561735261401,0.07299799600934201,0.15387467556544315,0.11560682130680366,0.8832035595105674,0.07980524863097507,0.232109751575825,0.1558089027842918,9.632183908045977,15
12,True,158,13,0,0.0,0.9354838709677419,0.22580645161290322,0.3870967741935484,0.8709677419354839,,,,,,,,,,
13,True,92,3,0,0.0,0.8064516129032258,0.3225806451612903,0.6451612903225806,0.7419354838709677,,,,,,,,,,
14,True,222,7,0,0.0,0.2903225806451613,0.03225806451612903,0.8387096774193549,0.7419354838709677,,,,,,,,,,
15,False,,957,137,0.10644910644910645,0.22580645161290322,0.0967741935483871,0.1935483870967742,0.16129032258064516,0.24770426183188135,0.13416528488343862,0.12761949611490464,0.11833890184611584,0.29620908876854246,0.22787304774649364,0.18530727572404052,0.1017128646777898,8.802919708029197,11
16,True,717,43,0,0.0,0.8387096774193549,0.7096774193548387,0.3548387096774194,0.6129032258064516,,,,,,,,,,
17,False,,982,146,0.11344211344211344,0.3548387096774194,0.12903225806451613,0.7741935483870968,0.3870967741935484,0.34379142730888207,0.16916012020674898,0.14560318161732214,0.07075816696793842,0.7611577551922228,0.164336188109565,0.37737516570923557,0.09819039347454252,9.684931506849315,16
18,True,65,1,0,0.0,0.12903225806451613,0.41935483870967744,0.5161290322580645,0.06451612903225806,,,,,,,,,,
19,True,114,1,0,0.0,0.1935483870967742,0.5806451612903226,0.9354838709677419,0.6451612903225806,,,,,,,,,,
20,True,81,2,0,0.0,0.41935483870967744,0.7419354838709677,0.12903225806451613,0.45161290322580644,,,,,,,,,,
21,True,914,47,0,0.0,0.06451612903225806,0.3548387096774194,0.7096774193548387,0.7741935483870968,,,,,,,,,,
22,False,,138,1,0.000777000777000777,0.7741935483870968,0.7419354838709677,0.5483870967741935,0.8709677419354839,0.7741935483870968,0.0,0.22580645161290322,0.0,0.5483870967741935,0.0,1.0,0.0,6.0,6
23,True,125,6,0,0.0,0.1935483870967742,0.22580645161290322,0.0,0.3548387096774194,,,,,,,,,,
24,True,58,1,0,0.0,0.8387096774193549,0.8064516129032258,0.45161290322580644,0.8387096774193549,,,,,,,,,,
25,True,112,12,0,0.0,0.8064516129032258,1.0,0.06451612903225806,0.0,,,,,,,,,,
26,True,613,33,0,0.0,0.5161290322580645,0.6774193548387096,0.06451612903225806,0.5806451612903226,,,,,,,,,,
27,True,77,1,0,0.0,0.8709677419354839,0.5161290322580645,0.5161290322580645,0.41935483870967744,,,,,,,,,,
28,True,48,1,0,0.0,0.5806451612903226,0.2903225806451613,0.5161290322580645,0.8387096774193549,,,,,,,,,,
29,False,,655,84,0.06526806526806526,0.3870967741935484,0.3548387096774194,0.5483870967741935,0.0967741935483871,0.31797235023041476,0.12264761461345093,0.36213517665130573,0.13125497156482263,0.5768049155145929,0.20967179254560211,0.11059907834101386,0.08152905996753057,10.797619047619047,15
30,True,145,19,0,0.0,0.8064516129032258,0.25806451612903225,0.41935483870967744,0.45161290322580644,,,,,,,,,,
31,True,104,2,0,0.0,0.3548387096774194,0.3548387096774194,0.5806451612903226,0.45161290322580644,,,,,,,,,,
32,True,108,7,0,0.0,0.4838709677419355,0.3548387096774194,0.06451612903225806,0.7741935483870968,,,,,,,,,,
33,True,128,5,0,0.0,0.12903225806451613,0.12903225806451613,0.7096774193548387,0.4838709677419355,,,,,,,,,,
34,True,56,2,0,0.0,0.7741935483870968,0.1935483870967742,0.0,0.3548387096774194,,,,,,,,,,
35,True,119,1,0,0.0,0.06451612903225806,0.03225806451612903,0.5806451612903226,0.6129032258064516,,,,,,,,,,
