step,population_size,food_count,average_energy,average_age,birth_count,death_count,age_death_count,energy_death_count,move_count,move_rate,non_move_count,eat_count,eat_rate,eat_per_move,eat_after_move_count,eat_without_move_count,eat_after_move_rate,eat_without_move_rate,total_eat_rate,shared_food_cell_count,shared_food_consumer_count,mean_consumers_per_shared_food,birth_rate,death_rate,age_death_rate,energy_death_rate,average_exploration_tendency,std_exploration_tendency,min_exploration_tendency,max_exploration_tendency,average_site_fidelity,std_site_fidelity,min_site_fidelity,max_site_fidelity,average_risk_tolerance,std_risk_tolerance,min_risk_tolerance,max_risk_tolerance,average_reproduction_timing,std_reproduction_timing,min_reproduction_timing,max_reproduction_timing,active_lineage_count,largest_lineage_share,average_generation,max_generation
0,100,492,9.819999999999999,1.0,0,0,0,0,56,0.56,44,8,0.08,0.10714285714285714,6,2,0.10714285714285714,0.045454545454545456,0.08,0,0,0.0,0.0,0.0,0.0,0.0,0.5183870967741935,0.29800777982567583,0.03225806451612903,1.0,0.4516129032258065,0.27973526953133937,0.0,1.0,0.5061290322580645,0.2802442445948033,0.0,1.0,0.4435483870967742,0.2952758459171728,0.0,1.0,100,0.01,0.0,0
1,100,674,10.169999999999998,2.0,0,0,0,0,50,0.5,50,19,0.19,0.34,17,2,0.34,0.04,0.19,1,2,2.0,0.0,0.0,0.0,0.0,0.5183870967741935,0.29800777982567583,0.03225806451612903,1.0,0.4516129032258065,0.27973526953133937,0.0,1.0,0.5061290322580645,0.2802442445948033,0.0,1.0,0.4435483870967742,0.2952758459171728,0.0,1.0,100,0.01,0.0,0
2,101,845,10.9009900990099,2.9702970297029703,1,0,0,0,52,0.52,48,29,0.29,0.4807692307692308,25,4,0.4807692307692308,0.08333333333333333,0.29,0,0,0.0,0.01,0.0,0.0,0.0,0.5167678058128393,0.296970627713171,0.03225806451612903,1.0,0.4567230916640051,0.2829990337474931,0.0,1.0,0.5030341743851804,0.2805656050052835,0.0,1.0,0.4397955924624721,0.2961974445280453,0.0,1.0,100,0.019801980198019802,0.009900990099009901,1
3,104,1016,11.247115384615382,3.855769230769231,3,0,0,0,62,0.6138613861386139,39,32,0.31683168316831684,0.45161290322580644,28,4,0.45161290322580644,0.10256410256410256,0.31683168316831684,3,6,2.0,0.0297029702970297,0.0,0.0,0.0,0.5074441687344913,0.29831937965524635,0.03225806451612903,1.0,0.445409429280397,0.2866139233961703,0.0,1.0,0.5,0.28369891018493265,0.0,1.0,0.434863523573201,0.2936118046060574,0.0,1.0,100,0.019230769230769232,0.038461538461538464,1
4,106,1179,12.099056603773583,4.764150943396227,2,0,0,0,62,0.5961538461538461,42,38,0.36538461538461536,0.5483870967741935,34,4,0.5483870967741935,0.09523809523809523,0.36538461538461536,1,2,2.0,0.019230769230769232,0.0,0.0,0.0,0.5091296409007913,0.2964129134482702,0.03225806451612903,1.0,0.4467437614120511,0.289841775832899,0.0,1.0,0.5006086427267193,0.2856261489777593,0.0,1.0,0.4351795496043822,0.29114124390467133,0.0,1.0,100,0.018867924528301886,0.05660377358490566,1
5,109,1337,12.960550458715593,5.605504587155964,3,0,0,0,66,0.6226415094339622,40,44,0.41509433962264153,0.5757575757575758,38,6,0.5757575757575758,0.15,0.41509433962264153,1,3,3.0,0.02830188679245283,0.0,0.0,0.0,0.502515537141166,0.2951100962944405,0.03225806451612903,1.0,0.44510210121337673,0.29399147721993396,0.0,1.0,0.49334122521456053,0.2855415996692821,0.0,1.0,0.43148860609647827,0.29138239988511644,0.0,1.0,100,0.027522935779816515,0.08256880733944955,1
6,115,1492,13.404347826086953,6.260869565217392,6,0,0,0,67,0.6146788990825688,42,46,0.42201834862385323,0.5970149253731343,40,6,0.5970149253731343,0.14285714285714285,0.42201834862385323,1,2,2.0,0.05504587155963303,0.0,0.0,0.0,0.49368863955119213,0.2952878785878113,0.03225806451612903,1.0,0.4510518934081346,0.3031148556734109,0.0,1.0,0.48695652173913045,0.28839860895043445,0.0,1.0,0.42552594670406735,0.28996067991213514,0.0,1.0,100,0.034782608695652174,0.1391304347826087,2
7,121,1647,13.756198347107434,6.900826446280992,6,0,0,0,75,0.6521739130434783,40,45,0.391304347826087,0.52,39,6,0.52,0.15,0.391304347826087,0,0,0.0,0.05217391304347826,0.0,0.0,0.0,0.4889362836576913,0.29146102996203344,0.03225806451612903,1.0,0.4508131165022661,0.3062084320438523,0.0,1.0,0.48707011463609706,0.2872225545503786,0.0,1.0,0.42735270594508135,0.28957458640345,0.0,1.0,100,0.04132231404958678,0.18181818181818182,2
8,129,1793,14.079069767441856,7.410852713178294,8,0,0,0,84,0.6942148760330579,37,56,0.4628099173553719,0.5833333333333334,49,7,0.5833333333333334,0.1891891891891892,0.4628099173553719,1,3,3.0,0.06611570247933884,0.0,0.0,0.0,0.48337084271067765,0.2887201057075237,0.03225806451612903,1.0,0.4426106526631658,0.3077086062745094,0.0,1.0,0.4818704676169042,0.2870323390013633,0.0,1.0,0.4223555888972243,0.28904003502874104,0.0,1.0,100,0.046511627906976744,0.2558139534883721,2
9,134,1938,14.798507462686562,8.097014925373134,5,0,0,0,89,0.689922480620155,40,61,0.4728682170542636,0.5955056179775281,53,8,0.5955056179775281,0.2,0.4728682170542636,6,12,2.0,0.03875968992248062,0.0,0.0,0.0,0.479297063071738,0.28790932455315643,0.03225806451612903,1.0,0.4482426576793452,0.3112918482108899,0.0,1.0,0.4809821858449687,0.2870532954523302,0.0,1.0,0.42224362060664417,0.2880255431500391,0.0,1.0,100,0.05223880597014925,0.2835820895522388,2
