founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,founder_gene_exchange_probability,founder_gene_exchange_fraction,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_gene_exchange_probability,final_std_gene_exchange_probability,final_mean_gene_exchange_fraction,final_std_gene_exchange_fraction,final_mean_generation,final_max_generation
0,True,48,1,0,0.0,0.35,0.6,0.5,0.45,0.8,0.4,,,,,,,,,,,,,,
1,True,125,3,0,0.0,0.55,0.45,0.5,0.25,0.0,0.3,,,,,,,,,,,,,,
2,True,91,1,0,0.0,0.9,0.7,0.95,1.0,0.15,0.125,,,,,,,,,,,,,,
3,True,94,1,0,0.0,0.85,0.0,0.05,0.35,0.75,0.5,,,,,,,,,,,,,,
4,True,425,6,0,0.0,0.85,0.95,0.05,0.7,0.9,0.225,,,,,,,,,,,,,,
5,True,25,1,0,0.0,0.8,0.75,0.55,0.85,0.25,0.45,,,,,,,,,,,,,,
6,True,34,1,0,0.0,0.8,0.95,0.2,1.0,0.55,0.35,,,,,,,,,,,,,,
7,True,75,3,0,0.0,0.3,0.3,0.5,0.15,0.6,0.225,,,,,,,,,,,,,,
8,True,29,1,0,0.0,0.95,0.45,0.1,0.25,0.1,0.3,,,,,,,,,,,,,,
9,True,28,1,0,0.0,1.0,0.0,0.65,0.45,0.25,0.5,,,,,,,,,,,,,,
10,True,71,1,0,0.0,0.1,1.0,0.8,0.5,0.1,0.375,,,,,,,,,,,,,,
11,True,39,1,0,0.0,0.85,0.1,1.0,0.1,0.5,0.1,,,,,,,,,,,,,,
12,True,34,2,0,0.0,1.0,0.9,0.95,0.1,0.55,0.025,,,,,,,,,,,,,,
13,True,44,1,0,0.0,0.05,0.65,0.45,0.6,0.1,0.45,,,,,,,,,,,,,,
14,True,49,1,0,0.0,0.85,0.15,0.55,0.4,0.0,0.45,,,,,,,,,,,,,,
15,True,91,2,0,0.0,0.2,0.6,0.75,0.15,0.3,0.375,,,,,,,,,,,,,,
16,False,,5209,41,0.0681063122923588,0.1,0.95,0.65,0.7,0.25,0.05,0.16219512195121952,0.021471727880071966,0.848780487804878,0.04748273739983361,0.6268292682926829,0.03509145017058088,0.3939024390243903,0.07666455436830102,0.31341463414634146,0.04280470432874206,0.16585365853658537,0.032080357165770505,83.36585365853658,88
