step,population_size,food_count,average_energy,average_age,birth_count,death_count,move_count,move_rate,non_move_count,eat_count,eat_rate,eat_per_move,eat_after_move_count,eat_without_move_count,eat_after_move_rate,eat_without_move_rate,total_eat_rate,birth_rate,death_rate,average_exploration_tendency,std_exploration_tendency,min_exploration_tendency,max_exploration_tendency,average_site_fidelity,std_site_fidelity,min_site_fidelity,max_site_fidelity,average_risk_tolerance,std_risk_tolerance,min_risk_tolerance,max_risk_tolerance,average_reproduction_timing,std_reproduction_timing,min_reproduction_timing,max_reproduction_timing
0,100,672,10.7,1.0,0,0,60,0.6,40,28,0.28,0.43333333333333335,26,2,0.43333333333333335,0.05,0.28,0.0,0.0,0.5058064516129032,0.29655952965735755,0.0,1.0,0.49451612903225806,0.2907185471779484,0.0,1.0,0.48387096774193544,0.2997050232086951,0.0,1.0,0.4970967741935484,0.30360631581902725,0.0,1.0
1,100,847,11.35,2.0,0,0,50,0.5,50,25,0.25,0.44,22,3,0.44,0.06,0.25,0.0,0.0,0.5058064516129032,0.29655952965735755,0.0,1.0,0.49451612903225806,0.2907185471779484,0.0,1.0,0.48387096774193544,0.2997050232086951,0.0,1.0,0.4970967741935484,0.30360631581902725,0.0,1.0
2,100,1023,11.88,3.0,0,0,57,0.57,43,24,0.24,0.42105263157894735,24,0,0.42105263157894735,0.0,0.24,0.0,0.0,0.5058064516129032,0.29655952965735755,0.0,1.0,0.49451612903225806,0.2907185471779484,0.0,1.0,0.48387096774193544,0.2997050232086951,0.0,1.0,0.4970967741935484,0.30360631581902725,0.0,1.0
3,100,1202,12.33,4.0,0,0,50,0.5,50,21,0.21,0.42,21,0,0.42,0.0,0.21,0.0,0.0,0.5058064516129032,0.29655952965735755,0.0,1.0,0.49451612903225806,0.2907185471779484,0.0,1.0,0.48387096774193544,0.2997050232086951,0.0,1.0,0.4970967741935484,0.30360631581902725,0.0,1.0
4,101,1376,12.702970297029703,4.9504950495049505,1,0,65,0.65,35,26,0.26,0.38461538461538464,25,1,0.38461538461538464,0.02857142857142857,0.26,0.01,0.0,0.5046311082721175,0.2953217397345418,0.0,1.0,0.4992015330565315,0.2930456791534224,0.0,1.0,0.4800383264132865,0.3006703797498124,0.0,1.0,0.4924944107313957,0.30558522283362083,0.0,1.0
5,103,1546,13.115533980582525,5.834951456310679,2,0,62,0.6138613861386139,39,30,0.297029702970297,0.46774193548387094,29,1,0.46774193548387094,0.02564102564102564,0.297029702970297,0.019801980198019802,0.0,0.497651111807078,0.2970342255238774,0.0,1.0,0.499217037269026,0.2902649718461594,0.0,1.0,0.47541497024741625,0.3005627394701642,0.0,1.0,0.48418415283432503,0.3083125505518711,0.0,1.0
6,108,1710,13.255555555555555,6.518518518518518,5,0,64,0.6213592233009708,39,36,0.34951456310679613,0.5,32,4,0.5,0.10256410256410256,0.34951456310679613,0.04854368932038835,0.0,0.5029868578255675,0.2955208664630467,0.0,1.0,0.4979091995221027,0.2892677354899273,0.0,1.0,0.48446833930704897,0.2978572738608406,0.0,1.0,0.46953405017921146,0.3092942837659189,0.0,1.0
7,110,1866,14.161818181818182,7.381818181818182,2,0,73,0.6759259259259259,35,44,0.4074074074074074,0.5616438356164384,41,3,0.5616438356164384,0.08571428571428572,0.4074074074074074,0.018518518518518517,0.0,0.5064516129032258,0.295283454679586,0.0,1.0,0.49442815249266864,0.29013056833537043,0.0,1.0,0.4906158357771261,0.29877229490520407,0.0,1.0,0.4636363636363636,0.3095875691656797,0.0,1.0
8,117,2024,14.04957264957265,7.880341880341881,7,0,78,0.7090909090909091,32,42,0.38181818181818183,0.5256410256410257,41,1,0.5256410256410257,0.03125,0.38181818181818183,0.06363636363636363,0.0,0.5136476426799007,0.2958050443809595,0.0,1.0,0.4910394265232975,0.28747836683580336,0.0,1.0,0.5004135649296939,0.30283120775442385,0.0,1.0,0.4425144747725393,0.31331740213037645,0.0,1.0
9,120,2173,14.875833333333333,8.658333333333333,3,0,87,0.7435897435897436,30,51,0.4358974358974359,0.5402298850574713,47,4,0.5402298850574713,0.13333333333333333,0.4358974358974359,0.02564102564102564,0.0,0.5102150537634409,0.2941793801216362,0.0,1.0,0.4959677419354839,0.2877141633976894,0.0,1.0,0.5016129032258064,0.3027750596277214,0.0,1.0,0.435752688172043,0.31269796596899535,0.0,1.0
