step,population_size,food_count,average_energy,average_age,birth_count,death_count,move_count,move_rate,eat_count,eat_rate,eat_per_move,birth_rate,death_rate,average_exploration_tendency,std_exploration_tendency,min_exploration_tendency,max_exploration_tendency,average_site_fidelity,std_site_fidelity,min_site_fidelity,max_site_fidelity,average_risk_tolerance,std_risk_tolerance,min_risk_tolerance,max_risk_tolerance,average_reproduction_timing,std_reproduction_timing,min_reproduction_timing,max_reproduction_timing
0,100,668,10.81,1.0,0,0,69,0.69,32,0.32,0.463768115942029,0.0,0.0,0.5506451612903226,0.27562265145259107,0.0,1.0,0.5074193548387097,0.3037694166316768,0.0,1.0,0.4554838709677419,0.29008162043474567,0.0,1.0,0.5203225806451612,0.26700851744297743,0.0,1.0
1,100,851,10.94,2.0,0,0,62,0.62,17,0.17,0.27419354838709675,0.0,0.0,0.5506451612903226,0.27562265145259107,0.0,1.0,0.5074193548387097,0.3037694166316768,0.0,1.0,0.4554838709677419,0.29008162043474567,0.0,1.0,0.5203225806451612,0.26700851744297743,0.0,1.0
2,100,1022,11.66,3.0,0,0,63,0.63,29,0.29,0.4603174603174603,0.0,0.0,0.5506451612903226,0.27562265145259107,0.0,1.0,0.5074193548387097,0.3037694166316768,0.0,1.0,0.4554838709677419,0.29008162043474567,0.0,1.0,0.5203225806451612,0.26700851744297743,0.0,1.0
3,101,1194,12.138613861386139,3.9603960396039604,1,0,65,0.65,28,0.28,0.4307692307692308,0.01,0.0,0.5506228042159055,0.2742548797863164,0.0,1.0,0.5094219099329288,0.3029245100847602,0.0,1.0,0.45448738422229323,0.288813959241481,0.0,1.0,0.5170871925902267,0.26764611945065475,0.0,1.0
4,102,1361,12.861764705882354,4.911764705882353,1,0,64,0.6336633663366337,33,0.32673267326732675,0.515625,0.009900990099009901,0.0,0.5534471853257432,0.2743793357268179,0.0,1.0,0.5126502213788742,0.30317691286084164,0.0,1.0,0.4579380139152435,0.28947938611257135,0.0,1.0,0.5151802656546489,0.2670195127292822,0.0,1.0
5,103,1518,13.967961165048544,5.854368932038835,1,0,73,0.7156862745098039,43,0.4215686274509804,0.589041095890411,0.00980392156862745,0.0,0.5533980582524272,0.27304459934862685,0.0,1.0,0.5145631067961165,0.302319501737206,0.0,1.0,0.4569370497964297,0.28824804576185536,0.0,1.0,0.5120576260569997,0.26758509367976185,0.0,1.0
6,103,1685,14.780582524271843,6.854368932038835,0,0,71,0.6893203883495146,33,0.32038834951456313,0.4647887323943662,0.0,0.0,0.5533980582524272,0.27304459934862685,0.0,1.0,0.5145631067961165,0.302319501737206,0.0,1.0,0.4569370497964297,0.28824804576185536,0.0,1.0,0.5120576260569997,0.26758509367976185,0.0,1.0
7,106,1839,15.604716981132075,7.632075471698113,3,0,73,0.7087378640776699,46,0.44660194174757284,0.6301369863013698,0.02912621359223301,0.0,0.5511259890444309,0.27130945053142297,0.0,1.0,0.5063907486305539,0.30477871901699477,0.0,1.0,0.4555690809494826,0.2850230739341303,0.0,1.0,0.5036518563603165,0.2688542753600917,0.0,1.0
8,108,1996,16.421296296296294,8.472222222222221,2,0,75,0.7075471698113207,43,0.4056603773584906,0.5733333333333334,0.018867924528301886,0.0,0.548984468339307,0.27315431286168296,0.0,1.0,0.4982078853046595,0.3077953728483766,0.0,1.0,0.45250896057347667,0.2854178262079514,0.0,1.0,0.5035842293906809,0.2670852209122834,0.0,1.0
9,112,2151,16.845535714285713,9.133928571428571,4,0,81,0.75,45,0.4166666666666667,0.5555555555555556,0.037037037037037035,0.0,0.561347926267281,0.27653714556322373,0.0,1.0,0.5011520737327189,0.3081124221271044,0.0,1.0,0.44239631336405527,0.2866001948455926,0.0,1.0,0.5020161290322581,0.26294284744266694,0.0,1.0
