step,population_size,food_count,average_energy,average_age,birth_count,death_count,move_count,move_rate,non_move_count,eat_count,eat_rate,eat_per_move,eat_after_move_count,eat_without_move_count,eat_after_move_rate,eat_without_move_rate,total_eat_rate,shared_food_cell_count,shared_food_consumer_count,mean_consumers_per_shared_food,birth_rate,death_rate,average_exploration_tendency,std_exploration_tendency,min_exploration_tendency,max_exploration_tendency,average_site_fidelity,std_site_fidelity,min_site_fidelity,max_site_fidelity,average_risk_tolerance,std_risk_tolerance,min_risk_tolerance,max_risk_tolerance,average_reproduction_timing,std_reproduction_timing,min_reproduction_timing,max_reproduction_timing
0,100,671,10.72,1.0,0,0,63,0.63,37,30,0.3,0.38095238095238093,24,6,0.38095238095238093,0.16216216216216217,0.3,1,2,2.0,0.0,0.0,0.4887096774193548,0.2883941328433724,0.0,1.0,0.4932258064516129,0.3081378058404021,0.0,1.0,0.45096774193548383,0.28620666655993654,0.0,1.0,0.4870967741935484,0.3046466368780102,0.0,1.0
1,100,838,11.66,2.0,0,0,61,0.61,39,33,0.33,0.5409836065573771,33,0,0.5409836065573771,0.0,0.33,0,0,0.0,0.0,0.0,0.4887096774193548,0.2883941328433724,0.0,1.0,0.4932258064516129,0.3081378058404021,0.0,1.0,0.45096774193548383,0.28620666655993654,0.0,1.0,0.4870967741935484,0.3046466368780102,0.0,1.0
2,100,1018,12.01,3.0,0,0,55,0.55,45,20,0.2,0.36363636363636365,20,0,0.36363636363636365,0.0,0.2,0,0,0.0,0.0,0.0,0.4887096774193548,0.2883941328433724,0.0,1.0,0.4932258064516129,0.3081378058404021,0.0,1.0,0.45096774193548383,0.28620666655993654,0.0,1.0,0.4870967741935484,0.3046466368780102,0.0,1.0
3,100,1188,12.85,4.0,0,0,56,0.56,44,31,0.31,0.5357142857142857,30,1,0.5357142857142857,0.022727272727272728,0.31,1,2,2.0,0.0,0.0,0.4887096774193548,0.2883941328433724,0.0,1.0,0.4932258064516129,0.3081378058404021,0.0,1.0,0.45096774193548383,0.28620666655993654,0.0,1.0,0.4870967741935484,0.3046466368780102,0.0,1.0
4,101,1355,13.633663366336634,4.9504950495049505,1,0,58,0.58,42,34,0.34,0.5344827586206896,31,3,0.5344827586206896,0.07142857142857142,0.34,1,2,2.0,0.01,0.0,0.4848291280740977,0.2895748006852123,0.0,1.0,0.4905780900670712,0.3077496700265861,0.0,1.0,0.4480996486745449,0.2862268674342717,0.0,1.0,0.4829128074097732,0.3060085366438561,0.0,1.0
5,105,1516,14.075238095238095,5.723809523809524,4,0,64,0.6336633663366337,37,41,0.40594059405940597,0.609375,39,2,0.609375,0.05405405405405406,0.40594059405940597,2,4,2.0,0.039603960396039604,0.0,0.48694316436251917,0.29083497400149283,0.0,1.0,0.4976958525345622,0.306669245799047,0.0,1.0,0.43993855606758836,0.2850041552425182,0.0,1.0,0.47619047619047616,0.3067877147767457,0.0,1.0
6,108,1681,14.429629629629629,6.537037037037037,3,0,69,0.6571428571428571,36,35,0.3333333333333333,0.4927536231884058,34,1,0.4927536231884058,0.027777777777777776,0.3333333333333333,0,0,0.0,0.02857142857142857,0.0,0.478494623655914,0.2913661054804135,0.0,1.0,0.4934289127837515,0.3061294684604616,0.0,1.0,0.4411589008363202,0.28234181053935864,0.0,1.0,0.472520908004779,0.3053749184306799,0.0,1.0
7,111,1834,15.284684684684684,7.333333333333333,3,0,71,0.6574074074074074,37,50,0.46296296296296297,0.704225352112676,50,0,0.704225352112676,0.0,0.46296296296296297,3,6,2.0,0.027777777777777776,0.0,0.4771868642836385,0.2951142284216035,0.0,1.0,0.4969485614646905,0.30683386363293136,0.0,1.0,0.4382446963092125,0.2800657909971561,0.0,1.0,0.4638186573670445,0.30770873719951264,0.0,1.0
8,115,1995,15.552173913043477,8.043478260869565,4,0,72,0.6486486486486487,39,40,0.36036036036036034,0.5555555555555556,40,0,0.5555555555555556,0.0,0.36036036036036034,1,2,2.0,0.036036036036036036,0.0,0.47124824684431976,0.29392176528999503,0.0,1.0,0.5004207573632539,0.30273796863401514,0.0,1.0,0.43506311360448807,0.2785802130804736,0.0,1.0,0.4546984572230014,0.30981687816601283,0.0,1.0
9,120,2148,15.974999999999998,8.666666666666666,5,0,70,0.6086956521739131,45,48,0.41739130434782606,0.6285714285714286,44,4,0.6285714285714286,0.08888888888888889,0.41739130434782606,1,2,2.0,0.043478260869565216,0.0,0.47258064516129034,0.2919503352724491,0.0,1.0,0.5032258064516129,0.30296259452314284,0.0,1.0,0.4381720430107527,0.27638539919628335,0.0,1.0,0.45268817204301076,0.3050600360936502,0.0,1.0
