organism_id,parent_id,founder_id,generation,birth_step,birth_x,birth_y,lifespan,birth_exploration_tendency,birth_site_fidelity,birth_risk_tolerance,birth_reproduction_timing,death_step,death_cause
0,,0,0,0,46,34,159,0.967741935483871,0.9032258064516129,0.6774193548387096,0.9354838709677419,133.0,energy
1,,1,0,0,5,19,212,0.6451612903225806,0.6774193548387096,1.0,0.6129032258064516,211.0,age
2,,2,0,0,67,94,221,0.0967741935483871,0.25806451612903225,0.12903225806451613,0.5161290322580645,220.0,age
3,,3,0,0,73,86,175,0.8387096774193549,0.9354838709677419,0.5483870967741935,0.6129032258064516,145.0,energy
4,,4,0,0,88,53,227,0.22580645161290322,0.7096774193548387,0.7419354838709677,0.22580645161290322,226.0,age
5,,5,0,0,62,55,238,0.9032258064516129,0.1935483870967742,0.16129032258064516,0.6129032258064516,237.0,age
6,,6,0,0,26,54,244,0.5483870967741935,0.03225806451612903,0.06451612903225806,0.0967741935483871,198.0,energy
7,,7,0,0,10,79,223,0.12903225806451613,0.4838709677419355,0.41935483870967744,0.5161290322580645,222.0,age
8,,8,0,0,43,10,200,0.3225806451612903,0.7419354838709677,1.0,0.6129032258064516,199.0,age
9,,9,0,0,7,23,209,1.0,0.9354838709677419,0.7096774193548387,0.3225806451612903,90.0,energy
10,,10,0,0,41,22,230,0.06451612903225806,0.2903225806451613,0.5161290322580645,0.03225806451612903,229.0,age
11,,11,0,0,65,20,177,0.6774193548387096,0.7096774193548387,0.8387096774193549,0.25806451612903225,79.0,energy
12,,12,0,0,16,91,165,0.6774193548387096,0.0,0.0967741935483871,0.6451612903225806,164.0,age
13,,13,0,0,84,99,182,0.7096774193548387,0.3225806451612903,0.12903225806451613,0.0,130.0,energy
14,,14,0,0,2,81,184,0.7741935483870968,0.7741935483870968,0.7096774193548387,0.06451612903225806,118.0,energy
15,,15,0,0,68,52,161,0.3548387096774194,0.3548387096774194,0.8064516129032258,0.25806451612903225,150.0,energy
16,,16,0,0,82,74,211,0.03225806451612903,0.3225806451612903,0.45161290322580644,0.967741935483871,210.0,age
17,,17,0,0,58,17,219,0.6129032258064516,0.5161290322580645,0.7419354838709677,1.0,203.0,energy
18,,18,0,0,98,28,180,0.3870967741935484,0.7096774193548387,0.5483870967741935,0.6451612903225806,179.0,age
19,,19,0,0,71,42,185,0.967741935483871,0.7419354838709677,1.0,0.7419354838709677,160.0,energy
20,,20,0,0,20,69,192,0.8064516129032258,0.0,0.7419354838709677,0.41935483870967744,87.0,energy
21,,21,0,0,41,81,160,0.7096774193548387,0.1935483870967742,0.41935483870967744,0.7419354838709677,138.0,energy
22,,22,0,0,95,53,178,0.8709677419354839,0.5483870967741935,0.3225806451612903,0.7741935483870968,99.0,energy
23,,23,0,0,55,20,184,0.3870967741935484,0.2903225806451613,0.12903225806451613,0.5161290322580645,183.0,age
24,,24,0,0,10,85,178,0.6774193548387096,0.7096774193548387,0.9354838709677419,0.9032258064516129,69.0,energy
25,,25,0,0,11,80,184,0.0,0.2903225806451613,0.22580645161290322,0.8709677419354839,183.0,age
26,,26,0,0,36,0,184,0.6451612903225806,0.22580645161290322,0.7096774193548387,0.3870967741935484,183.0,age
27,,27,0,0,79,21,219,0.7419354838709677,0.9032258064516129,0.06451612903225806,0.967741935483871,218.0,age
28,,28,0,0,93,73,228,0.5806451612903226,0.7741935483870968,0.3548387096774194,0.7419354838709677,227.0,age
29,,29,0,0,56,70,170,0.967741935483871,0.3225806451612903,0.06451612903225806,0.2903225806451613,96.0,energy
30,,30,0,0,41,87,219,0.7741935483870968,0.8064516129032258,0.03225806451612903,0.7741935483870968,107.0,energy
31,,31,0,0,42,78,218,0.7741935483870968,0.967741935483871,0.0,0.0967741935483871,93.0,energy
32,,32,0,0,58,8,250,0.8064516129032258,0.45161290322580644,0.16129032258064516,0.22580645161290322,72.0,energy
33,,33,0,0,38,8,225,1.0,1.0,0.0,0.9354838709677419,224.0,age
34,,34,0,0,85,37,191,1.0,0.6129032258064516,0.3225806451612903,0.03225806451612903,81.0,energy
35,,35,0,0,96,71,156,0.16129032258064516,0.3548387096774194,0.41935483870967744,0.967741935483871,155.0,age
