seed,final_population,mean_population_last_100,mean_move_rate_last_100,mean_total_eat_rate_last_100,mean_eat_after_move_rate_last_100,mean_eat_without_move_rate_last_100,mean_move_count_last_100,mean_non_move_count_last_100,mean_shared_food_cell_count_last_100,mean_shared_food_consumer_count_last_100,mean_consumers_per_shared_food_last_100,mean_shared_food_cell_ratio_last_100,mean_shared_food_consumer_ratio_last_100,mean_birth_rate_last_100,mean_death_rate_last_100,mean_age_death_rate_last_100,mean_energy_death_rate_last_100,mean_age_death_count_last_100,mean_energy_death_count_last_100,final_exploration_tendency,final_site_fidelity,final_risk_tolerance,final_reproduction_timing,mean_gene_exchange_eligible_rate_last_100,mean_gene_exchange_event_rate_last_100,mean_gene_exchange_birth_rate_last_100,mean_gene_exchange_event_count_last_100,mean_gene_exchange_selected_loci_count_last_100,mean_gene_exchange_changed_bit_count_last_100,total_gene_exchange_events,total_gene_exchange_selected_loci,total_gene_exchange_changed_bits,final_active_lineage_count,mean_active_lineage_count_last_100,final_largest_lineage_share,mean_largest_lineage_share_last_100,final_average_generation,final_max_generation
0,827,872.73,0.30798147754941274,0.12777588974066656,0.3831912279761799,0.014007631270744532,269.18,604.7,16.79,36.79,2.1944007135570938,0.18349105597695128,0.3272878318130732,0.010926581521432409,0.012214248210184462,0.0030524148326712365,0.009161833377513225,2.67,8.02,0.26435193182472505,0.04166906585286271,0.2784207596783171,0.13372104182261377,0.15473490398490397,1.0,0.15473490398490397,1.42,17.04,4.23,25165,301980,93985,14,14.0,0.2841596130592503,0.28930863848177313,38.77146311970979,52
1,783,873.14,0.3140213221175594,0.1260999509013544,0.37225028014528794,0.013417659985710331,274.63,600.09,16.31,35.65,2.1850147157513122,0.180125704999684,0.32086718669239017,0.01040961763026833,0.012230751807885139,0.002675001977947106,0.009555749829938034,2.33,8.33,0.28950515923695996,0.03665186806949259,0.3941089420016623,0.1538040503557745,0.17098556998556996,1.0,0.17098556998556996,1.56,18.72,4.46,25648,307776,92851,18,18.06,0.18646232439335889,0.17769024635529257,37.887611749680715,50
2,794,829.42,0.36136377761946037,0.13182361884452243,0.3394829912816869,0.014424708189301493,299.82,530.63,15.14,32.59,2.1574709500408953,0.16535816463270403,0.29589317202080023,0.010937544398012193,0.012142972970375804,0.0028126085648992848,0.00933036440547652,2.33,7.77,0.3128823317740194,0.0333853104633961,0.519851265443205,0.2106473151813202,0.17421411921411922,1.0,0.17421411921411922,1.59,19.08,4.69,25073,300876,92332,14,14.54,0.17632241813602015,0.18572576250931697,38.104534005037785,47
3,802,857.8,0.3272575232560464,0.13015033158265735,0.3684346717130554,0.01408201226776479,280.98,578.11,16.55,36.43,2.2010902549593654,0.18059296655333779,0.3244439388553452,0.011023930318928486,0.012501794925031411,0.002711122906018012,0.009790672019013402,2.33,8.4,0.28686220955547637,0.031449154890551397,0.3919764081858845,0.13040810671733363,0.17993317221993696,1.0,0.17993317221993696,1.68,20.16,4.92,24667,296004,88687,15,15.0,0.4463840399002494,0.43786493469792426,40.49376558603491,49
4,790,855.37,0.3219453693912864,0.12951786275430224,0.37275197480759886,0.014034284882396832,275.45,581.17,16.25,35.5,2.1821796446128277,0.17736386658906295,0.3169348476106322,0.010417294597014794,0.011871379235051199,0.0033141505055496482,0.008557228729501553,2.84,7.32,0.27181032750653,0.047156921840466146,0.4483021900743419,0.19511754068716095,0.1769730130980131,1.0,0.1769730130980131,1.59,19.08,4.69,24730,296760,97927,15,15.0,0.2189873417721519,0.21187177285365344,38.75949367088607,49
5,819,863.25,0.31506037605321036,0.12911397493683116,0.3792385458239198,0.014162057517013781,272.17,592.28,16.86,36.96,2.1920942965167796,0.18448413577787534,0.32921856239572483,0.010652302664302766,0.012005272091974304,0.002934998448593409,0.009070273643380892,2.55,7.84,0.26356183499040636,0.05513886466267419,0.42223385080527936,0.159427873713588,0.16913372983225922,1.0,0.16913372983225922,1.5,18.0,4.1,25307,303684,93954,17,17.02,0.38705738705738707,0.36545461282579855,37.533577533577535,49
6,823,864.95,0.31535911764785246,0.12914277425343135,0.37928364858773017,0.013975880005474712,272.96,593.17,16.5,36.2,2.1902991668515797,0.17888895987559209,0.3201991914849518,0.011165871334678699,0.012488194960147409,0.002946554026506252,0.009541640933641156,2.55,8.26,0.2758973172095894,0.04214160350247835,0.42589056683831894,0.12453470655171749,0.19419447301064946,1.0,0.19419447301064946,1.93,23.16,5.43,25356,304272,94165,20,20.49,0.1968408262454435,0.20001429531312487,39.74969623329283,52
7,788,830.33,0.35857830185568657,0.13197753939642864,0.34053924436249794,0.015424178501338598,298.04,533.29,14.92,32.55,2.1798348478259304,0.1623154100768731,0.29474693893760384,0.011177783653996146,0.01235468809138862,0.003008741246016978,0.009345946845371642,2.51,7.77,0.29981468052534044,0.06417693981145757,0.4217226653774877,0.17113850616388687,0.1795494782565216,1.0,0.1795494782565216,1.72,20.64,5.62,25085,301020,95527,18,18.0,0.16116751269035534,0.15737766611487766,37.84263959390863,54
8,813,855.4,0.3384293307571481,0.13029165136785148,0.3560723731301676,0.014717613258658373,289.61,566.91,16.68,36.24,2.170046764681827,0.18140775875408846,0.3220590227037603,0.010980021708947884,0.012260930726673235,0.0025272641150432982,0.009733666611629936,2.17,8.34,0.30734688299263946,0.062164431168121204,0.4497354497354497,0.13325133251332513,0.17952379564879564,1.0,0.17952379564879564,1.61,19.32,4.43,24960,299520,96446,18,18.0,0.2890528905289053,0.2761500197869696,39.04182041820418,50
9,800,854.7,0.3310339694864703,0.12928554098775838,0.36265705263237175,0.013748852762992664,283.3,572.71,16.29,35.27,2.1662792255360834,0.17809277034337112,0.31691506990354,0.010573265085260457,0.012076726496878448,0.0026592471813017076,0.00941747931557674,2.28,8.07,0.27944444444444444,0.051765873015873015,0.441984126984127,0.12990079365079363,0.19430474182680066,1.0,0.19430474182680066,1.78,21.36,5.7,25616,307392,94366,22,22.42,0.15375,0.1446130061018441,37.955,49
