seed,founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,founder_gene_exchange_probability,founder_gene_exchange_fraction,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_gene_exchange_probability,final_std_gene_exchange_probability,final_mean_gene_exchange_fraction,final_std_gene_exchange_fraction,final_mean_generation,final_max_generation
0,0,True,69,1,0,0.0,0.6,0.65,0.9,0.95,0.3,0.125,,,,,,,,,,,,,,
0,1,True,157,1,0,0.0,0.2,0.05,0.25,1.0,0.0,0.025,,,,,,,,,,,,,,
0,2,True,48,1,0,0.0,0.9,0.3,0.65,0.35,0.15,0.175,,,,,,,,,,,,,,
0,3,True,61,1,0,0.0,0.25,0.15,0.25,0.8,0.3,0.425,,,,,,,,,,,,,,
0,4,True,66,1,0,0.0,0.15,0.2,0.0,0.45,0.05,0.325,,,,,,,,,,,,,,
0,5,True,51,1,0,0.0,0.35,0.45,0.45,0.75,0.25,0.0,,,,,,,,,,,,,,
0,6,True,33,1,0,0.0,0.65,0.45,0.85,0.1,0.05,0.3,,,,,,,,,,,,,,
0,7,True,41,1,0,0.0,0.95,0.4,0.1,0.9,0.25,0.475,,,,,,,,,,,,,,
0,8,True,29,1,0,0.0,0.05,1.0,0.95,0.05,0.2,0.325,,,,,,,,,,,,,,
0,9,True,49,1,0,0.0,0.75,0.25,0.85,0.45,0.25,0.025,,,,,,,,,,,,,,
0,10,True,43,1,0,0.0,0.4,0.85,0.4,0.7,0.85,0.075,,,,,,,,,,,,,,
0,11,False,,13851,104,0.171334431630972,0.2,0.75,0.85,0.45,0.95,0.3,0.1504807692307692,0.0594426001038025,0.7399038461538461,0.0684231066502292,0.6908653846153847,0.0678532151174515,0.2466346153846154,0.0538268337592355,0.6870192307692307,0.0852020201964843,0.2182692307692308,0.0300701841752151,80.64423076923077,86.0
0,12,True,38,1,0,0.0,0.15,0.55,0.9,0.6,1.0,0.125,,,,,,,,,,,,,,
0,13,True,104,2,0,0.0,0.25,0.85,0.85,0.75,0.9,0.375,,,,,,,,,,,,,,
0,14,True,59,1,0,0.0,0.5,0.15,0.65,0.85,1.0,0.225,,,,,,,,,,,,,,
0,15,True,29,1,0,0.0,0.15,0.25,0.5,0.0,0.85,0.025,,,,,,,,,,,,,,
0,16,True,23,1,0,0.0,0.9,0.8,0.7,0.7,0.55,0.35,,,,,,,,,,,,,,
0,17,True,23,1,0,0.0,0.7,0.85,0.8,0.3,0.65,0.325,,,,,,,,,,,,,,
0,18,True,98,1,0,0.0,0.1,0.55,0.05,0.6,0.5,0.175,,,,,,,,,,,,,,
0,19,True,58,1,0,0.0,0.4,0.2,0.1,0.85,0.9,0.375,,,,,,,,,,,,,,
0,20,True,43,1,0,0.0,0.45,0.25,0.5,0.7,0.2,0.3,,,,,,,,,,,,,,
0,21,True,88,1,0,0.0,0.15,0.65,1.0,0.75,0.05,0.2,,,,,,,,,,,,,,
0,22,True,28,1,0,0.0,0.15,0.05,0.65,0.4,0.4,0.025,,,,,,,,,,,,,,
0,23,True,25,1,0,0.0,0.4,0.9,1.0,0.15,0.9,0.0,,,,,,,,,,,,,,
0,24,True,20,1,0,0.0,0.85,0.15,1.0,0.2,0.25,0.25,,,,,,,,,,,,,,
0,25,True,1287,69,0,0.0,0.0,0.3,1.0,0.65,0.75,0.175,,,,,,,,,,,,,,
0,26,True,93,1,0,0.0,0.85,0.0,0.15,0.9,0.5,0.05,,,,,,,,,,,,,,
0,27,True,18,1,0,0.0,0.8,0.55,0.45,0.95,0.45,0.3,,,,,,,,,,,,,,
0,28,True,93,1,0,0.0,0.25,1.0,0.85,0.5,0.35,0.475,,,,,,,,,,,,,,
0,29,True,510,30,0,0.0,0.25,0.55,0.8,0.85,0.2,0.25,,,,,,,,,,,,,,
0,30,True,88,3,0,0.0,0.3,0.3,0.55,0.3,0.6,0.35,,,,,,,,,,,,,,
0,31,True,16,1,0,0.0,0.75,0.0,0.75,0.05,0.05,0.0,,,,,,,,,,,,,,
0,32,False,,14890,99,0.1630971993410214,0.2,0.3,0.7,0.15,0.1,0.5,0.1338383838383838,0.0419404838222761,0.3025252525252525,0.0600394387948023,0.5878787878787879,0.0832092740469453,0.0994949494949495,0.0446620019584528,0.1464646464646464,0.04508831135488,0.3848484848484848,0.0283863545381745,87.96969696969697,92.0
0,33,True,17,1,0,0.0,0.85,0.9,0.4,0.65,0.45,0.4,,,,,,,,,,,,,,
0,34,True,83,2,0,0.0,0.45,0.45,0.3,0.2,1.0,0.0,,,,,,,,,,,,,,
0,35,True,30,1,0,0.0,0.1,0.85,0.8,0.8,0.25,0.45,,,,,,,,,,,,,,
0,36,True,30,1,0,0.0,0.7,0.95,0.25,0.55,0.7,0.5,,,,,,,,,,,,,,
0,37,True,33,1,0,0.0,0.2,0.4,0.4,0.2,0.4,0.15,,,,,,,,,,,,,,
