seed,final_population,mean_population_last_100,mean_move_rate_last_100,mean_total_eat_rate_last_100,mean_eat_after_move_rate_last_100,mean_eat_without_move_rate_last_100,mean_move_count_last_100,mean_non_move_count_last_100,mean_shared_food_cell_count_last_100,mean_shared_food_consumer_count_last_100,mean_consumers_per_shared_food_last_100,mean_shared_food_cell_ratio_last_100,mean_shared_food_consumer_ratio_last_100,mean_birth_rate_last_100,mean_death_rate_last_100,mean_age_death_rate_last_100,mean_energy_death_rate_last_100,mean_age_death_count_last_100,mean_energy_death_count_last_100,final_exploration_tendency,final_site_fidelity,final_risk_tolerance,final_reproduction_timing,mean_gene_exchange_eligible_rate_last_100,mean_gene_exchange_event_rate_last_100,mean_gene_exchange_birth_rate_last_100,mean_gene_exchange_event_count_last_100,mean_gene_exchange_selected_loci_count_last_100,mean_gene_exchange_changed_bit_count_last_100,total_gene_exchange_events,total_gene_exchange_selected_loci,total_gene_exchange_changed_bits,final_active_lineage_count,mean_active_lineage_count_last_100,final_largest_lineage_share,mean_largest_lineage_share_last_100,final_average_generation,final_max_generation
0,607,650.75,0.6404531718704959,0.6329542986045825,0.8220164494199476,0.2943693950686805,417.31,234.41,74.43,395.91,5.3221056183650255,0.8182106892739719,0.9595099790525257,0.0063704425701194,0.00784172513818555,0.004421041037895332,0.003420684100290218,2.87,2.24,0.2714168039538715,0.42660626029654036,0.6011532125205931,0.28500823723228996,0.8335039682539681,0.3369938451571104,0.2810039682539683,1.21,32.04,4.96,30479,803136,120835,6,6.0,0.214168039538715,0.2130104386905415,85.60131795716639,105
1,611,626.79,0.6393606111824431,0.6444967987663496,0.839335818301723,0.29761884239688735,401.24,226.23,73.75,388.24,5.266260802324249,0.8187467558884534,0.959108194060849,0.006597732403947977,0.007641505139492171,0.0047370141510211725,0.002904490988470999,2.97,1.83,0.26792144026186576,0.37013093289689036,0.5202945990180032,0.25826513911620297,0.8637023809523809,0.5126861397479954,0.44801984126984123,2.1,35.61,5.11,47866,981255,142256,8,8.0,0.3780687397708674,0.3522265139925698,85.39770867430443,100
2,683,681.28,0.6435634405012692,0.6123243687774234,0.7947628066678658,0.28133774390656946,438.28,242.96,75.1,394.29,5.250063456161114,0.7703060897474637,0.9451719890472213,0.008111579686135087,0.008040118857933027,0.00413743039003426,0.003902688467898769,2.82,2.67,0.32789165446559293,0.6468521229868228,0.4652269399707174,0.19458272327964862,0.6755934343434343,0.4375901875901876,0.2989949494949495,1.7,47.61,6.2,38191,1064679,150547,7,7.47,0.26207906295754024,0.29947261109549245,89.7203513909224,113
3,593,630.01,0.7003165065540295,0.6343180075162871,0.7554225542088971,0.34966270555023266,441.87,188.86,73.07,380.52,5.207841460195738,0.786810091344272,0.9500080567421086,0.007073457192109825,0.008206706608837839,0.004765988648259939,0.0034407179605779005,2.99,2.17,0.4660202360876898,0.5984822934232714,0.42015177065767284,0.35826306913996625,0.7661269841269839,0.2717543859649123,0.21301190476190474,1.0,30.15,4.96,19157,607812,67636,5,5.0,0.3456998313659359,0.3318450163679217,82.29848229342328,96
4,590,632.88,0.6934803580969487,0.6290483126466695,0.7544794999624148,0.343197644876313,439.49,194.24,73.89,379.29,5.137102833019983,0.7916702850679816,0.9506143856964683,0.007247308523311986,0.008576964535036164,0.004694831996498842,0.0038821325385373223,2.98,2.46,0.4451694915254237,0.44762711864406785,0.5164406779661017,0.27296610169491525,0.7794444444444444,0.4380466472303207,0.347484126984127,1.58,20.55,3.23,31615,419616,55979,6,6.0,0.3677966101694915,0.3427750489001353,86.02203389830508,122
5,602,640.23,0.6317623980973172,0.6418469894513408,0.8413061267777304,0.2983262046663217,405.13,236.11,73.83,395.58,5.3643413477687,0.8218378638376224,0.9608972149517946,0.006395544648657844,0.00793392664337565,0.004680495719144386,0.0032534309242312643,3.0,2.09,0.25963455149501663,0.5199335548172758,0.4550664451827242,0.26453488372093026,0.8781190476190477,0.28565962656871746,0.25960714285714287,1.05,19.53,2.08,23047,415791,49160,9,9.0,0.19601328903654486,0.19852762201358978,82.87707641196013,97
6,611,652.97,0.651724759419901,0.6360413027650754,0.8074882498968863,0.3142692854747988,426.56,227.66,74.34,399.39,5.3749199529531335,0.8170918500334389,0.9595758757397158,0.007279457360464893,0.009123778774931063,0.004552903368359547,0.004570875406571516,2.98,3.02,0.3281505728314239,0.5292144026186579,0.38895253682487724,0.09852700490998363,0.8390515873015874,0.7242322212019181,0.6115238095238095,2.89,51.54,6.01,58892,1073733,126400,4,4.0,0.5973813420621932,0.5684350670248174,94.59901800327333,116
7,641,650.15,0.6518104656666837,0.6361998478711501,0.8099477459683851,0.3089179294005516,424.32,226.51,74.46,396.17,5.322147433100291,0.8045880171112113,0.9558508921673617,0.006730226511877101,0.0077277080827229195,0.003938356181187225,0.003789351901535694,2.57,2.48,0.3317472698907956,0.34734789391575666,0.4148205928237129,0.25491419656786274,0.7735555555555557,0.3075923226433431,0.22794444444444445,1.03,18.78,2.5,27062,629346,87503,8,8.0,0.36037441497659906,0.37264814601838153,87.90795631825273,100
8,599,616.86,0.6646753958286743,0.6565706880971495,0.823683455096762,0.3240668556165015,410.3,207.0,73.96,390.53,5.289561842674474,0.8333033693580711,0.9632624371769368,0.006936446776980457,0.007629739095155726,0.004591663238079993,0.0030380758570757323,2.84,1.88,0.3245409015025042,0.5785475792988314,0.5401502504173623,0.18280467445742904,0.8355548340548341,0.2723422191843245,0.23396139971139973,1.08,31.2,3.9,23264,682836,78090,8,8.0,0.1986644407345576,0.19645011310525223,89.48080133555926,112
9,623,638.88,0.6807905797317464,0.6321872843011154,0.7717442569769958,0.33260561689473384,435.16,203.96,74.14,385.35,5.198909726161746,0.7975099069920182,0.9529352175545945,0.007829000581834921,0.00819600233989296,0.00447164650089508,0.003724355838997878,2.86,2.38,0.3867576243980739,0.6516051364365971,0.5259229534510433,0.20786516853932585,0.7583650793650795,0.2892951088263588,0.22387698412698412,1.12,34.32,3.65,27033,1023102,154944,6,6.0,0.32102728731942215,0.3210648339463049,87.57142857142857,108
