seed,founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,founder_gene_exchange_probability,founder_gene_exchange_fraction,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_gene_exchange_probability,final_std_gene_exchange_probability,final_mean_gene_exchange_fraction,final_std_gene_exchange_fraction,final_mean_generation,final_max_generation
0,0,True,2833,485,0,0.0,0.0,0.45,0.2,0.65,0.05,0.25,,,,,,,,,,,,,,
0,1,True,1245,76,0,0.0,0.4,0.75,0.25,0.1,0.75,0.3,,,,,,,,,,,,,,
0,2,True,101,1,0,0.0,0.05,0.2,0.65,0.3,0.55,0.425,,,,,,,,,,,,,,
0,3,False,,21036,172,0.2120838471023428,0.6,0.0,0.15,0.05,0.65,0.425,0.2433139534883721,0.0640135817034905,0.0159883720930232,0.0426949684378388,0.313953488372093,0.0755411341783239,0.1625,0.0588467165312698,0.5136627906976744,0.0610181273990096,0.1760174418604651,0.0358003952552575,110.61046511627907,118.0
0,4,True,2396,686,0,0.0,0.2,0.55,0.65,0.3,0.1,0.15,,,,,,,,,,,,,,
0,5,True,884,36,0,0.0,0.05,0.25,0.45,0.5,0.7,0.375,,,,,,,,,,,,,,
0,6,True,1953,1245,0,0.0,0.8,0.0,0.5,0.7,0.75,0.275,,,,,,,,,,,,,,
0,7,True,364,7,0,0.0,0.8,0.3,0.9,0.65,0.65,0.325,,,,,,,,,,,,,,
0,8,True,334,18,0,0.0,0.15,0.5,0.5,0.8,0.4,0.075,,,,,,,,,,,,,,
0,9,True,24,1,0,0.0,1.0,0.4,0.8,0.95,0.9,0.275,,,,,,,,,,,,,,
0,10,True,111,1,0,0.0,0.6,0.7,0.7,0.75,0.95,0.2,,,,,,,,,,,,,,
0,11,True,93,2,0,0.0,0.4,0.8,0.25,0.35,0.75,0.4,,,,,,,,,,,,,,
0,12,True,223,28,0,0.0,1.0,0.35,0.85,0.3,0.9,0.175,,,,,,,,,,,,,,
0,13,True,1397,98,0,0.0,0.9,0.35,0.05,0.55,0.3,0.025,,,,,,,,,,,,,,
0,14,True,425,63,0,0.0,0.6,0.4,0.7,0.05,0.65,0.15,,,,,,,,,,,,,,
0,15,True,697,84,0,0.0,0.65,1.0,0.55,0.1,0.55,0.45,,,,,,,,,,,,,,
0,16,True,366,21,0,0.0,0.85,0.35,1.0,0.75,0.7,0.125,,,,,,,,,,,,,,
0,17,True,94,1,0,0.0,0.05,0.0,0.8,0.45,0.95,0.325,,,,,,,,,,,,,,
0,18,True,690,28,0,0.0,0.2,0.15,0.45,0.95,0.55,0.4,,,,,,,,,,,,,,
0,19,True,241,10,0,0.0,0.1,1.0,0.25,0.35,0.3,0.3,,,,,,,,,,,,,,
0,20,True,624,96,0,0.0,0.55,0.45,0.8,0.9,0.35,0.2,,,,,,,,,,,,,,
0,21,True,165,4,0,0.0,0.75,0.05,1.0,0.6,0.7,0.275,,,,,,,,,,,,,,
