seed,final_population,mean_population_last_100,mean_move_rate_last_100,mean_total_eat_rate_last_100,mean_eat_after_move_rate_last_100,mean_eat_without_move_rate_last_100,mean_move_count_last_100,mean_non_move_count_last_100,mean_shared_food_cell_count_last_100,mean_shared_food_consumer_count_last_100,mean_consumers_per_shared_food_last_100,mean_shared_food_cell_ratio_last_100,mean_shared_food_consumer_ratio_last_100,mean_birth_rate_last_100,mean_death_rate_last_100,mean_age_death_rate_last_100,mean_energy_death_rate_last_100,mean_age_death_count_last_100,mean_energy_death_count_last_100,final_exploration_tendency,final_site_fidelity,final_risk_tolerance,final_reproduction_timing,mean_gene_exchange_eligible_rate_last_100,mean_gene_exchange_event_rate_last_100,mean_gene_exchange_birth_rate_last_100,mean_gene_exchange_event_count_last_100,mean_gene_exchange_selected_loci_count_last_100,mean_gene_exchange_changed_bit_count_last_100,total_gene_exchange_events,total_gene_exchange_selected_loci,total_gene_exchange_changed_bits,final_active_lineage_count,mean_active_lineage_count_last_100,final_largest_lineage_share,mean_largest_lineage_share_last_100,final_average_generation,final_max_generation
0,811,871.36,0.3125698568781877,0.12628804965644685,0.37382031789786174,0.013612180162745043,272.72,599.86,16.02,34.77,2.1702493707258177,0.17527105760884534,0.3134332596136129,0.010219609050322476,0.011608709135798468,0.0029449497014207436,0.008663759434377723,2.57,7.56,0.26738594327990134,0.015166461159062887,0.33655980271270036,0.15456226880394575,0.1928018093018093,0.5380658436213991,0.10944327894327895,0.98,14.49,2.04,44690,615477,117540,3,3.0,0.7472256473489519,0.7413980841814626,108.08754623921085,119
1,803,858.04,0.32574802509718204,0.12909630696592375,0.3680290390081278,0.013733013799874025,279.98,579.51,15.63,34.42,2.2080988956434,0.16972488901129645,0.3085139781900156,0.010094938379790325,0.011742888865387512,0.0031940955936872696,0.008548793271700241,2.74,7.36,0.2711706102117061,0.015691158156911585,0.44420921544209213,0.17465753424657535,0.1510380452880453,0.30297619047619045,0.04541206016206017,0.46,12.12,2.49,20545,573453,134004,3,3.0,0.7671232876712328,0.7717384366557876,109.80572851805728,125
2,838,890.57,0.28378630914615305,0.12432948986203762,0.40459496973630477,0.013200857407828035,252.94,638.7,15.88,34.79,2.183301689076973,0.17251588048931116,0.3103340573579938,0.010428397102846107,0.011618245822638384,0.002837368190586548,0.008780877632051836,2.53,7.82,0.22356801909307875,0.017124105011933174,0.39880668257756563,0.1568019093078759,0.17587827450327448,0.6319444444444444,0.1112860195360195,1.0,17.73,2.48,43073,982251,210277,2,2.0,0.7553699284009546,0.7619569610739538,110.3400954653938,124
3,808,862.55,0.30865672158722607,0.12714930724363588,0.3814074059737436,0.013639393479502026,266.55,597.17,15.72,34.07,2.169944664127121,0.1723614955427495,0.308030486401489,0.010470503191034096,0.011810781827808174,0.003131237265298443,0.008679544562509732,2.71,7.5,0.22561881188118812,0.015841584158415842,0.7594678217821782,0.1818688118811881,0.14849464424464423,0.183982683982684,0.027235070485070484,0.26,6.75,0.6,15023,415320,90645,1,1.0,1.0,1.0,108.3440594059406,118
4,833,884.34,0.2978237933228025,0.12738971534826887,0.39554169325965227,0.013758061060420945,263.53,621.94,16.97,37.34,2.202502994693421,0.18437611802269996,0.3300703704053183,0.010126318362721341,0.011383750489913294,0.0030849124785383474,0.008298838011374944,2.74,7.35,0.24837935174069628,0.019507803121248498,0.3300120048019207,0.15078031212484994,0.16332889332889333,0.4945147679324894,0.0766582029082029,0.67,18.6,3.65,33632,1048716,239188,3,3.0,0.44057623049219685,0.46976558033764354,110.09003601440577,123
5,848,885.15,0.2982177639557903,0.1253166437188584,0.3864681391759135,0.014263308355267203,264.37,621.92,16.74,36.21,2.1643866970395016,0.1830374478637632,0.3241999999739555,0.010559365723456664,0.011805674874364968,0.002820043460588549,0.008985631413776419,2.51,7.97,0.2522995283018868,0.015566037735849058,0.37541273584905666,0.10854952830188679,0.17538761238761244,0.43594377510040166,0.07581282606282606,0.67,19.71,2.85,32122,858171,164836,2,2.0,0.9988207547169812,0.9988677462264376,118.21933962264151,134
6,782,837.74,0.3221011772521824,0.13131491415266475,0.3768933915770799,0.014606187280711926,270.19,568.85,15.6,34.0,2.1833430012073,0.16991119004505362,0.30610653033748747,0.009191372695646625,0.010715790737596962,0.004042761088452517,0.006673029649144443,3.4,5.6,0.25153452685421995,0.01636828644501279,0.5159846547314578,0.44590792838874677,0.1863327864945512,0.2651898734177215,0.044772338772338764,0.37,6.33,1.15,21323,445227,119470,3,3.0,0.5460358056265985,0.5485678481981087,96.38618925831202,106
7,811,881.89,0.2954224712340134,0.12609025794653536,0.3934535908459885,0.014012718895222244,260.98,622.47,16.37,35.8,2.183689296740959,0.17818699980402491,0.31878814876608624,0.011080040990570972,0.012823333832760004,0.002974023721243836,0.009849310111516171,2.62,8.72,0.23082614056720097,0.01091245376078915,0.597533908754624,0.1124537607891492,0.1532592570827865,0.5553333333333332,0.08181508605773312,0.82,14.55,2.69,39134,656139,146801,4,4.0,0.4870530209617756,0.492313864852546,109.58076448828606,128
8,838,903.79,0.2833604845649286,0.12435545817285318,0.40450594305368187,0.013572831126512546,256.37,648.56,16.94,37.18,2.191281645210312,0.18302854305042357,0.3267460511219873,0.0107180886055785,0.01197722429728779,0.0029108565335135427,0.009066367763774247,2.63,8.21,0.2256563245823389,0.014677804295942721,0.44516706443914084,0.09313842482100239,0.17240856202620908,0.5640562248995984,0.09759008475184945,0.92,14.61,2.1,51481,765309,136037,1,1.0,1.0,1.0,113.08830548926014,134
9,884,901.02,0.2824011429992641,0.12491680015809525,0.41036102779753736,0.01248091470365088,254.68,647.33,16.87,36.94,2.1904225986907506,0.18298152307623242,0.3263109618733842,0.010353755437845936,0.011404421544933756,0.0028762415339572815,0.008528180010976478,2.6,7.7,0.24004524886877826,0.015441176470588236,0.24581447963800904,0.11742081447963801,0.17342500881471473,0.6278538812785387,0.11488988870606517,1.01,14.43,2.34,53312,733332,138274,2,2.0,0.7024886877828054,0.6863582617819681,115.20135746606334,138
