step,population_size,food_count,average_energy,average_age,birth_count,death_count,move_count,move_rate,eat_count,eat_rate,average_exploration_tendency,min_exploration_tendency,max_exploration_tendency,average_site_fidelity,min_site_fidelity,max_site_fidelity,average_risk_tolerance,min_risk_tolerance,max_risk_tolerance,average_reproduction_timing,min_reproduction_timing,max_reproduction_timing
0,100,691,9.8,1.0,0,0,55,0.55,9,0.09,0.4687096774193548,0.0,0.967741935483871,0.5170967741935484,0.0,1.0,0.4603225806451613,0.0,1.0,0.4935483870967742,0.0,0.967741935483871
1,100,886,9.590000000000002,2.0,0,0,36,0.36,5,0.05,0.4687096774193548,0.0,0.967741935483871,0.5170967741935484,0.0,1.0,0.4603225806451613,0.0,1.0,0.4935483870967742,0.0,0.967741935483871
2,100,1074,9.65,3.0,0,0,44,0.44,12,0.12,0.4687096774193548,0.0,0.967741935483871,0.5170967741935484,0.0,1.0,0.4603225806451613,0.0,1.0,0.4935483870967742,0.0,0.967741935483871
3,100,1261,9.750000000000002,4.0,0,0,45,0.45,13,0.13,0.4687096774193548,0.0,0.967741935483871,0.5170967741935484,0.0,1.0,0.4603225806451613,0.0,1.0,0.4935483870967742,0.0,0.967741935483871
4,100,1450,9.740000000000002,5.0,0,0,46,0.46,11,0.11,0.4687096774193548,0.0,0.967741935483871,0.5170967741935484,0.0,1.0,0.4603225806451613,0.0,1.0,0.4935483870967742,0.0,0.967741935483871
5,100,1635,9.900000000000002,6.0,0,0,49,0.49,15,0.15,0.4687096774193548,0.0,0.967741935483871,0.5170967741935484,0.0,1.0,0.4603225806451613,0.0,1.0,0.4935483870967742,0.0,0.967741935483871
6,100,1819,10.080000000000002,7.0,0,0,52,0.52,16,0.16,0.4687096774193548,0.0,0.967741935483871,0.5170967741935484,0.0,1.0,0.4603225806451613,0.0,1.0,0.4935483870967742,0.0,0.967741935483871
7,102,1996,10.235294117647062,7.8431372549019605,2,0,59,0.59,23,0.23,0.47153700189753317,0.0,0.967741935483871,0.5135989879822896,0.0,1.0,0.4658444022770398,0.0,1.0,0.48861480075901326,0.0,0.967741935483871
8,102,2177,10.498039215686276,8.843137254901961,0,0,58,0.5686274509803921,19,0.18627450980392157,0.47153700189753317,0.0,0.967741935483871,0.5135989879822896,0.0,1.0,0.4658444022770398,0.0,1.0,0.48861480075901326,0.0,0.967741935483871
9,102,2354,10.956862745098041,9.843137254901961,0,0,58,0.5686274509803921,23,0.22549019607843138,0.47153700189753317,0.0,0.967741935483871,0.5135989879822896,0.0,1.0,0.4658444022770398,0.0,1.0,0.48861480075901326,0.0,0.967741935483871
10,103,2528,11.333980582524275,10.737864077669903,1,0,65,0.6372549019607843,26,0.2549019607843137,0.46821171312245535,0.0,0.967741935483871,0.5092389602254933,0.0,1.0,0.46821171312245535,0.0,1.0,0.48418415283432503,0.0,0.967741935483871
11,101,2704,11.985148514851488,11.732673267326733,0,2,67,0.6504854368932039,24,0.23300970873786409,0.458958799105717,0.0,0.967741935483871,0.5129351644841903,0.0,1.0,0.4640689875439156,0.0,1.0,0.4803577131906739,0.0,0.967741935483871
