step,simulation_year,day_of_year,month,day_of_month,food_respawn_rate,population_size,food_count,food_respawn_count,food_consumed_count,average_energy,average_age,birth_count,gene_exchange_eligible_count,gene_exchange_event_count,gene_exchange_selected_loci_count,gene_exchange_changed_bit_count,gene_exchange_eligible_rate,gene_exchange_event_rate,gene_exchange_birth_rate,death_count,age_death_count,energy_death_count,move_count,move_rate,non_move_count,eat_count,eat_rate,eat_per_move,eat_after_move_count,eat_without_move_count,eat_after_move_rate,eat_without_move_rate,total_eat_rate,shared_food_cell_count,shared_food_consumer_count,mean_consumers_per_shared_food,birth_rate,death_rate,age_death_rate,energy_death_rate,average_exploration_tendency,std_exploration_tendency,min_exploration_tendency,max_exploration_tendency,average_site_fidelity,std_site_fidelity,min_site_fidelity,max_site_fidelity,average_risk_tolerance,std_risk_tolerance,min_risk_tolerance,max_risk_tolerance,average_reproduction_timing,std_reproduction_timing,min_reproduction_timing,max_reproduction_timing,average_gene_exchange_probability,std_gene_exchange_probability,min_gene_exchange_probability,max_gene_exchange_probability,average_gene_exchange_fraction,std_gene_exchange_fraction,min_gene_exchange_fraction,max_gene_exchange_fraction,active_lineage_count,largest_lineage_share,average_generation,max_generation
0,1,1,1,1,0.00881563,100,475,0,25,10.64,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,62,0.62,38,26,0.26,0.3870967741935484,24,2,0.3870967741935484,0.05263157894736842,0.26,1,2,2.0,0.0,0.0,0.0,0.0,0.5035000000000001,0.31106711494466915,0.0,1.0,0.498,0.29273879141651177,0.0,1.0,0.5095000000000001,0.2972116249408828,0.0,1.0,0.5085000000000001,0.30561863490304386,0.0,1.0,0.508,0.30624499995918303,0.0,1.0,0.26575,0.14250679808345987,0.0,0.5,100,0.01,0.0,0
1,1,1,1,1,0.00881563,100,543,88,20,11.104999999999997,2.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,47,0.47,53,20,0.2,0.425531914893617,20,0,0.425531914893617,0.0,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.5035000000000001,0.31106711494466915,0.0,1.0,0.498,0.29273879141651177,0.0,1.0,0.5095000000000001,0.2972116249408828,0.0,1.0,0.5085000000000001,0.30561863490304386,0.0,1.0,0.508,0.30624499995918303,0.0,1.0,0.26575,0.14250679808345987,0.0,0.5,100,0.01,0.0,0
2,1,1,1,1,0.00881563,101,619,88,12,11.014851485148512,2.9702970297029703,1,0,0,0,0,0.0,0.0,0.0,0,0,0,46,0.46,54,12,0.12,0.2391304347826087,11,1,0.2391304347826087,0.018518518518518517,0.12,0,0,0.0,0.01,0.0,0.0,0.0,0.5024752475247525,0.3096929362027,0.0,1.0,0.49950495049504956,0.291674497259754,0.0,1.0,0.5064356435643564,0.297319990164332,0.0,1.0,0.5044554455445545,0.3067797456993146,0.0,1.0,0.504950495049505,0.3062472429049503,0.0,1.0,0.2660891089108911,0.14184010653541626,0.0,0.5,100,0.019801980198019802,0.009900990099009901,1
3,1,1,1,1,0.00881563,101,686,88,21,11.487128712871286,3.9702970297029703,0,0,0,0,0,0.0,0.0,0.0,0,0,0,54,0.5346534653465347,47,21,0.2079207920792079,0.35185185185185186,19,2,0.35185185185185186,0.0425531914893617,0.2079207920792079,0,0,0.0,0.0,0.0,0.0,0.0,0.5024752475247525,0.3096929362027,0.0,1.0,0.49950495049504956,0.291674497259754,0.0,1.0,0.5064356435643564,0.297319990164332,0.0,1.0,0.5044554455445545,0.3067797456993146,0.0,1.0,0.504950495049505,0.3062472429049503,0.0,1.0,0.2660891089108911,0.14184010653541626,0.0,0.5,100,0.019801980198019802,0.009900990099009901,1
4,1,1,1,1,0.00881563,102,753,88,21,11.778431372549017,4.921568627450981,1,0,0,0,0,0.0,0.0,0.0,0,0,0,57,0.5643564356435643,44,21,0.2079207920792079,0.3508771929824561,20,1,0.3508771929824561,0.022727272727272728,0.2079207920792079,0,0,0.0,0.009900990099009901,0.0,0.0,0.0,0.5029411764705882,0.3082066668340723,0.0,1.0,0.5,0.2902838367569799,0.0,1.0,0.5112745098039215,0.2998289432870063,0.0,1.0,0.5019607843137255,0.30629999140816144,0.0,1.0,0.5093137254901962,0.3078809924270828,0.0,1.0,0.2642156862745098,0.14239331248417283,0.0,0.5,100,0.0196078431372549,0.0196078431372549,1
5,1,1,1,1,0.00881563,102,822,88,19,12.130392156862742,5.921568627450981,0,0,0,0,0,0.0,0.0,0.0,0,0,0,57,0.5588235294117647,45,20,0.19607843137254902,0.3333333333333333,19,1,0.3333333333333333,0.022222222222222223,0.19607843137254902,1,2,2.0,0.0,0.0,0.0,0.0,0.5029411764705882,0.3082066668340723,0.0,1.0,0.5,0.2902838367569799,0.0,1.0,0.5112745098039215,0.2998289432870063,0.0,1.0,0.5019607843137255,0.30629999140816144,0.0,1.0,0.5093137254901962,0.3078809924270828,0.0,1.0,0.2642156862745098,0.14239331248417283,0.0,0.5,100,0.0196078431372549,0.0196078431372549,1
6,1,1,1,1,0.00881563,103,887,88,23,12.50679611650485,6.854368932038835,1,0,0,0,0,0.0,0.0,0.0,0,0,0,57,0.5588235294117647,45,24,0.23529411764705882,0.38596491228070173,22,2,0.38596491228070173,0.044444444444444446,0.23529411764705882,1,2,2.0,0.00980392156862745,0.0,0.0,0.0,0.5019417475728155,0.30687291652721144,0.0,1.0,0.5029126213592233,0.2903651235708799,0.0,1.0,0.5087378640776699,0.2994677466518861,0.0,1.0,0.5004854368932039,0.30517344627635573,0.0,1.0,0.5116504854368932,0.30729037242517254,0.0,1.0,0.2655339805825243,0.14232451743391136,0.0,0.5,100,0.019417475728155338,0.02912621359223301,1
7,1,1,1,1,0.00881563,103,957,88,18,12.774757281553393,7.854368932038835,0,0,0,0,0,0.0,0.0,0.0,0,0,0,63,0.6116504854368932,40,18,0.17475728155339806,0.2698412698412698,17,1,0.2698412698412698,0.025,0.17475728155339806,0,0,0.0,0.0,0.0,0.0,0.0,0.5019417475728155,0.30687291652721144,0.0,1.0,0.5029126213592233,0.2903651235708799,0.0,1.0,0.5087378640776699,0.2994677466518861,0.0,1.0,0.5004854368932039,0.30517344627635573,0.0,1.0,0.5116504854368932,0.30729037242517254,0.0,1.0,0.2655339805825243,0.14232451743391136,0.0,0.5,100,0.019417475728155338,0.02912621359223301,1
8,1,1,1,1,0.00881563,105,1017,88,28,13.132380952380947,8.685714285714285,2,0,0,0,0,0.0,0.0,0.0,0,0,0,72,0.6990291262135923,31,29,0.2815533980582524,0.3888888888888889,28,1,0.3888888888888889,0.03225806451612903,0.2815533980582524,1,2,2.0,0.019417475728155338,0.0,0.0,0.0,0.49952380952380954,0.3060108337714329,0.0,1.0,0.5004761904761904,0.288138131399577,0.0,1.0,0.5128571428571429,0.29809143463266524,0.0,1.0,0.4919047619047619,0.3084619147228181,0.0,1.0,0.5104761904761905,0.30571502744309964,0.0,1.0,0.2626190476190476,0.14260016569498027,0.0,0.5,100,0.01904761904761905,0.047619047619047616,1
9,1,1,1,1,0.00881563,105,1079,88,26,13.784761904761899,9.685714285714285,0,0,0,0,0,0.0,0.0,0.0,0,0,0,60,0.5714285714285714,45,26,0.24761904761904763,0.4166666666666667,25,1,0.4166666666666667,0.022222222222222223,0.24761904761904763,0,0,0.0,0.0,0.0,0.0,0.0,0.49952380952380954,0.3060108337714329,0.0,1.0,0.5004761904761904,0.288138131399577,0.0,1.0,0.5128571428571429,0.29809143463266524,0.0,1.0,0.4919047619047619,0.3084619147228181,0.0,1.0,0.5104761904761905,0.30571502744309964,0.0,1.0,0.2626190476190476,0.14260016569498027,0.0,0.5,100,0.01904761904761905,0.047619047619047616,1
10,1,2,1,2,0.00873559,106,1141,87,25,14.183018867924522,10.584905660377359,1,0,0,0,0,0.0,0.0,0.0,0,0,0,65,0.6190476190476191,40,25,0.23809523809523808,0.3230769230769231,21,4,0.3230769230769231,0.1,0.23809523809523808,0,0,0.0,0.009523809523809525,0.0,0.0,0.0,0.5028301886792452,0.3064426281894582,0.0,1.0,0.5014150943396226,0.2869371066425312,0.0,1.0,0.5169811320754717,0.29967646016341837,0.0,1.0,0.4882075471698113,0.3093321996727159,0.0,1.0,0.5066037735849057,0.3068460581170735,0.0,1.0,0.26108490566037734,0.14279389540387835,0.0,0.5,100,0.018867924528301886,0.05660377358490566,1
11,1,2,1,2,0.00873559,108,1210,87,18,14.070370370370362,11.37037037037037,2,0,0,0,0,0.0,0.0,0.0,0,0,0,64,0.6037735849056604,42,19,0.1792452830188679,0.28125,18,1,0.28125,0.023809523809523808,0.1792452830188679,1,2,2.0,0.018867924528301886,0.0,0.0,0.0,0.5041666666666667,0.3037668605288529,0.0,1.0,0.5,0.2844748247664913,0.0,1.0,0.5185185185185185,0.2974110972512216,0.0,1.0,0.48101851851851857,0.3109660569032468,0.0,1.0,0.5032407407407408,0.308166106915253,0.0,1.0,0.26180555555555557,0.14302689842417582,0.0,0.5,100,0.027777777777777776,0.07407407407407407,1
12,1,2,1,2,0.00873559,111,1273,87,24,14.064864864864859,12.036036036036036,3,1,1,9,0,0.3333333333333333,1.0,0.3333333333333333,0,0,0,62,0.5740740740740741,46,25,0.23148148148148148,0.4032258064516129,25,0,0.4032258064516129,0.0,0.23148148148148148,1,2,2.0,0.027777777777777776,0.0,0.0,0.0,0.5049549549549549,0.30283606564547194,0.0,1.0,0.4954954954954955,0.2846326500512633,0.0,1.0,0.5234234234234234,0.3005865002557965,0.0,1.0,0.48018018018018016,0.31028026268033315,0.0,1.0,0.5063063063063064,0.3096144883587845,0.0,1.0,0.25788288288288286,0.14390711085228258,0.0,0.5,100,0.02702702702702703,0.0990990990990991,1
13,1,2,1,2,0.00873559,115,1341,87,19,13.642608695652166,12.582608695652175,4,0,0,0,0,0.0,0.0,0.0,0,0,0,68,0.6126126126126126,43,19,0.17117117117117117,0.27941176470588236,19,0,0.27941176470588236,0.0,0.17117117117117117,0,0,0.0,0.036036036036036036,0.0,0.0,0.0,0.51,0.2989983277545211,0.0,1.0,0.49173913043478257,0.281990628489256,0.0,1.0,0.5278260869565218,0.29805100995779565,0.0,1.0,0.4778260869565218,0.3062530428844625,0.0,1.0,0.4995652173913044,0.30874892375618884,0.0,1.0,0.2580434782608696,0.14429543313176724,0.0,0.5,100,0.02608695652173913,0.13043478260869565,1
14,1,2,1,2,0.00873559,119,1398,87,30,13.654621848739488,13.126050420168067,4,0,0,0,0,0.0,0.0,0.0,0,0,0,79,0.6869565217391305,36,30,0.2608695652173913,0.379746835443038,30,0,0.379746835443038,0.0,0.2608695652173913,0,0,0.0,0.034782608695652174,0.0,0.0,0.0,0.5109243697478992,0.29888867435588157,0.0,1.0,0.48739495798319327,0.2833783650699257,0.0,1.0,0.5252100840336135,0.29717676809426224,0.0,1.0,0.47689075630252103,0.3075239907268005,0.0,1.0,0.5021008403361344,0.30729197773310934,0.0,1.0,0.2546218487394958,0.14417857692334524,0.0,0.5,100,0.025210084033613446,0.15966386554621848,1
15,1,2,1,2,0.00873559,121,1450,87,35,14.1793388429752,13.892561983471074,2,0,0,0,0,0.0,0.0,0.0,0,0,0,77,0.6470588235294118,42,36,0.3025210084033613,0.45454545454545453,35,1,0.45454545454545453,0.023809523809523808,0.3025210084033613,1,2,2.0,0.01680672268907563,0.0,0.0,0.0,0.512396694214876,0.2966953659131889,0.0,1.0,0.49214876033057847,0.28488131967560826,0.0,1.0,0.5293388429752066,0.2978344305068766,0.0,1.0,0.471900826446281,0.307542415403216,0.0,1.0,0.506198347107438,0.3074535675441335,0.0,1.0,0.25475206611570245,0.1450033502600552,0.0,0.5,100,0.03305785123966942,0.17355371900826447,1
