step,simulation_year,day_of_year,month,day_of_month,food_respawn_rate,population_size,food_count,food_respawn_count,food_consumed_count,average_energy,average_age,birth_count,death_count,age_death_count,energy_death_count,move_count,move_rate,non_move_count,eat_count,eat_rate,eat_per_move,eat_after_move_count,eat_without_move_count,eat_after_move_rate,eat_without_move_rate,total_eat_rate,shared_food_cell_count,shared_food_consumer_count,mean_consumers_per_shared_food,birth_rate,death_rate,age_death_rate,energy_death_rate,average_exploration_tendency,std_exploration_tendency,min_exploration_tendency,max_exploration_tendency,average_site_fidelity,std_site_fidelity,min_site_fidelity,max_site_fidelity,average_risk_tolerance,std_risk_tolerance,min_risk_tolerance,max_risk_tolerance,average_reproduction_timing,std_reproduction_timing,min_reproduction_timing,max_reproduction_timing,active_lineage_count,largest_lineage_share,average_generation,max_generation
0,1,1,1,1,0.00881563,100,476,0,24,10.605,1.0,0,0,0,0,59,0.59,41,25,0.25,0.3898305084745763,23,2,0.3898305084745763,0.04878048780487805,0.25,1,2,2.0,0.0,0.0,0.0,0.0,0.4687096774193548,0.2904463893713526,0.0,0.967741935483871,0.5170967741935484,0.30861561920329483,0.0,1.0,0.4603225806451613,0.31417616034551143,0.0,1.0,0.4935483870967742,0.2986441787034616,0.0,0.967741935483871,100,0.01,0.0,0
1,1,1,1,1,0.00881563,100,552,88,12,10.704999999999998,2.0,0,0,0,0,40,0.4,60,13,0.13,0.325,13,0,0.325,0.0,0.13,1,2,2.0,0.0,0.0,0.0,0.0,0.4687096774193548,0.2904463893713526,0.0,0.967741935483871,0.5170967741935484,0.30861561920329483,0.0,1.0,0.4603225806451613,0.31417616034551143,0.0,1.0,0.4935483870967742,0.2986441787034616,0.0,0.967741935483871,100,0.01,0.0,0
2,1,1,1,1,0.00881563,100,628,88,12,10.789999999999997,3.0,0,0,0,0,43,0.43,57,12,0.12,0.27906976744186046,12,0,0.27906976744186046,0.0,0.12,0,0,0.0,0.0,0.0,0.0,0.0,0.4687096774193548,0.2904463893713526,0.0,0.967741935483871,0.5170967741935484,0.30861561920329483,0.0,1.0,0.4603225806451613,0.31417616034551143,0.0,1.0,0.4935483870967742,0.2986441787034616,0.0,0.967741935483871,100,0.01,0.0,0
3,1,1,1,1,0.00881563,100,700,88,16,11.034999999999998,4.0,0,0,0,0,51,0.51,49,16,0.16,0.3137254901960784,16,0,0.3137254901960784,0.0,0.16,0,0,0.0,0.0,0.0,0.0,0.0,0.4687096774193548,0.2904463893713526,0.0,0.967741935483871,0.5170967741935484,0.30861561920329483,0.0,1.0,0.4603225806451613,0.31417616034551143,0.0,1.0,0.4935483870967742,0.2986441787034616,0.0,0.967741935483871,100,0.01,0.0,0
4,1,1,1,1,0.00881563,100,769,88,19,11.414999999999997,5.0,0,0,0,0,54,0.54,46,20,0.2,0.3333333333333333,18,2,0.3333333333333333,0.043478260869565216,0.2,1,2,2.0,0.0,0.0,0.0,0.0,0.4687096774193548,0.2904463893713526,0.0,0.967741935483871,0.5170967741935484,0.30861561920329483,0.0,1.0,0.4603225806451613,0.31417616034551143,0.0,1.0,0.4935483870967742,0.2986441787034616,0.0,0.967741935483871,100,0.01,0.0,0
5,1,1,1,1,0.00881563,100,841,88,16,11.674999999999995,6.0,0,0,0,0,48,0.48,52,16,0.16,0.3333333333333333,16,0,0.3333333333333333,0.0,0.16,0,0,0.0,0.0,0.0,0.0,0.0,0.4687096774193548,0.2904463893713526,0.0,0.967741935483871,0.5170967741935484,0.30861561920329483,0.0,1.0,0.4603225806451613,0.31417616034551143,0.0,1.0,0.4935483870967742,0.2986441787034616,0.0,0.967741935483871,100,0.01,0.0,0
6,1,1,1,1,0.00881563,100,911,88,18,12.014999999999995,7.0,0,0,0,0,52,0.52,48,18,0.18,0.3269230769230769,17,1,0.3269230769230769,0.020833333333333332,0.18,0,0,0.0,0.0,0.0,0.0,0.0,0.4687096774193548,0.2904463893713526,0.0,0.967741935483871,0.5170967741935484,0.30861561920329483,0.0,1.0,0.4603225806451613,0.31417616034551143,0.0,1.0,0.4935483870967742,0.2986441787034616,0.0,0.967741935483871,100,0.01,0.0,0
7,1,1,1,1,0.00881563,102,981,88,18,12.063725490196074,7.8431372549019605,2,0,0,0,42,0.42,58,18,0.18,0.42857142857142855,18,0,0.42857142857142855,0.0,0.18,0,0,0.0,0.02,0.0,0.0,0.0,0.47596457938013914,0.29215935498418755,0.0,0.967741935483871,0.5135989879822896,0.30896919445265736,0.0,1.0,0.46805819101834284,0.31605496486226403,0.0,1.0,0.489247311827957,0.2973389057466367,0.0,0.967741935483871,100,0.0196078431372549,0.0196078431372549,1
8,1,1,1,1,0.00881563,104,1051,88,18,12.027884615384611,8.673076923076923,2,0,0,0,58,0.5686274509803921,44,19,0.18627450980392157,0.3103448275862069,18,1,0.3103448275862069,0.022727272727272728,0.18627450980392157,1,2,2.0,0.0196078431372549,0.0,0.0,0.0,0.4798387096774194,0.29233817489469355,0.0,0.967741935483871,0.5130272952853597,0.3092635530170189,0.0,1.0,0.4646401985111662,0.3150967863480268,0.0,1.0,0.48542183622828783,0.2973837940130118,0.0,0.967741935483871,100,0.019230769230769232,0.038461538461538464,1
9,1,1,1,1,0.00881563,105,1117,88,22,12.330476190476187,9.58095238095238,1,0,0,0,60,0.5769230769230769,44,22,0.21153846153846154,0.36666666666666664,22,0,0.36666666666666664,0.0,0.21153846153846154,0,0,0.0,0.009615384615384616,0.0,0.0,0.0,0.4807987711213518,0.2911074493882248,0.0,0.967741935483871,0.5124423963133641,0.30784513901677674,0.0,1.0,0.46052227342549923,0.31639210465609274,0.0,1.0,0.48387096774193544,0.2963865764931599,0.0,0.967741935483871,100,0.01904761904761905,0.047619047619047616,1
10,1,2,1,2,0.00873559,107,1177,87,27,12.69813084112149,10.383177570093459,2,0,0,0,59,0.5619047619047619,46,27,0.2571428571428571,0.4406779661016949,26,1,0.4406779661016949,0.021739130434782608,0.2571428571428571,0,0,0.0,0.01904761904761905,0.0,0.0,0.0,0.479348809164908,0.29099004097569076,0.0,0.967741935483871,0.5070847151040097,0.30820529884978987,0.0,1.0,0.4621646065722038,0.31442124836600044,0.0,1.0,0.4781429002110341,0.29718591867389677,0.0,0.967741935483871,100,0.018691588785046728,0.06542056074766354,1
11,1,2,1,2,0.00873559,107,1236,87,28,13.412149532710275,11.383177570093459,0,0,0,0,63,0.5887850467289719,44,28,0.2616822429906542,0.3968253968253968,25,3,0.3968253968253968,0.06818181818181818,0.2616822429906542,0,0,0.0,0.0,0.0,0.0,0.0,0.479348809164908,0.29099004097569076,0.0,0.967741935483871,0.5070847151040097,0.30820529884978987,0.0,1.0,0.4621646065722038,0.31442124836600044,0.0,1.0,0.4781429002110341,0.29718591867389677,0.0,0.967741935483871,100,0.018691588785046728,0.06542056074766354,1
